test_id,seed,Y,sigma_m,influence_radius_m,status,runtime_s,completed_scenarios,failed_scenarios,error
seed_101_Y_0p004,101,0.004,40.0,120.0,SUCCESS,77.297463,Single;Multi;Surface,,
seed_101_Y_0p01,101,0.01,40.0,120.0,SUCCESS,74.538822,Single;Multi;Surface,,
seed_101_Y_0p02,101,0.02,40.0,120.0,SUCCESS,73.080753,Single;Multi;Surface,,
seed_101_Y_0p05,101,0.05,40.0,120.0,SUCCESS,67.332061,Single;Multi;Surface,,
seed_101_Y_0p2,101,0.2,40.0,120.0,SUCCESS,64.872501,Single;Multi;Surface,,
seed_203_Y_0p004,203,0.004,40.0,120.0,SUCCESS,74.005410,Single;Multi;Surface,,
seed_203_Y_0p01,203,0.01,40.0,120.0,SUCCESS,72.778218,Single;Multi;Surface,,
seed_203_Y_0p02,203,0.02,40.0,120.0,SUCCESS,70.498638,Single;Multi;Surface,,
seed_203_Y_0p05,203,0.05,40.0,120.0,SUCCESS,68.156583,Single;Multi;Surface,,
seed_203_Y_0p2,203,0.2,40.0,120.0,SUCCESS,66.981978,Single;Multi;Surface,,
seed_307_Y_0p004,307,0.004,40.0,120.0,SUCCESS,78.869568,Single;Multi;Surface,,
seed_307_Y_0p01,307,0.01,40.0,120.0,SUCCESS,70.057736,Single;Multi;Surface,,
seed_307_Y_0p02,307,0.02,40.0,120.0,SUCCESS,65.245158,Single;Multi;Surface,,
seed_307_Y_0p05,307,0.05,40.0,120.0,SUCCESS,63.365381,Single;Multi;Surface,,
seed_307_Y_0p2,307,0.2,40.0,120.0,SUCCESS,58.905079,Single;Multi;Surface,,
seed_401_Y_0p004,401,0.004,40.0,120.0,SUCCESS,74.415190,Single;Multi;Surface,,
seed_401_Y_0p01,401,0.01,40.0,120.0,SUCCESS,70.345007,Single;Multi;Surface,,
seed_401_Y_0p02,401,0.02,40.0,120.0,SUCCESS,72.278580,Single;Multi;Surface,,
seed_401_Y_0p05,401,0.05,40.0,120.0,SUCCESS,64.737520,Single;Multi;Surface,,
seed_401_Y_0p2,401,0.2,40.0,120.0,SUCCESS,61.941493,Single;Multi;Surface,,
seed_509_Y_0p004,509,0.004,40.0,120.0,SUCCESS,74.506158,Single;Multi;Surface,,
seed_509_Y_0p01,509,0.01,40.0,120.0,SUCCESS,67.034452,Single;Multi;Surface,,
seed_509_Y_0p02,509,0.02,40.0,120.0,SUCCESS,74.193412,Single;Multi;Surface,,
seed_509_Y_0p05,509,0.05,40.0,120.0,SUCCESS,69.825557,Single;Multi;Surface,,
seed_509_Y_0p2,509,0.2,40.0,120.0,SUCCESS,59.923601,Single;Multi;Surface,,
seed_601_Y_0p004,601,0.004,40.0,120.0,SUCCESS,80.197628,Single;Multi;Surface,,
seed_601_Y_0p01,601,0.01,40.0,120.0,SUCCESS,86.558775,Single;Multi;Surface,,
seed_601_Y_0p02,601,0.02,40.0,120.0,SUCCESS,72.654769,Single;Multi;Surface,,
seed_601_Y_0p05,601,0.05,40.0,120.0,SUCCESS,71.074661,Single;Multi;Surface,,
seed_601_Y_0p2,601,0.2,40.0,120.0,SUCCESS,66.523152,Single;Multi;Surface,,
seed_709_Y_0p004,709,0.004,40.0,120.0,SUCCESS,68.207958,Single;Multi;Surface,,
seed_709_Y_0p01,709,0.01,40.0,120.0,SUCCESS,67.052775,Single;Multi;Surface,,
seed_709_Y_0p02,709,0.02,40.0,120.0,SUCCESS,69.334799,Single;Multi;Surface,,
seed_709_Y_0p05,709,0.05,40.0,120.0,SUCCESS,64.933519,Single;Multi;Surface,,
seed_709_Y_0p2,709,0.2,40.0,120.0,SUCCESS,84.406303,Single;Multi;Surface,,
seed_809_Y_0p004,809,0.004,40.0,120.0,SUCCESS,70.983282,Single;Multi;Surface,,
seed_809_Y_0p01,809,0.01,40.0,120.0,SUCCESS,66.943303,Single;Multi;Surface,,
seed_809_Y_0p02,809,0.02,40.0,120.0,SUCCESS,64.587630,Single;Multi;Surface,,
seed_809_Y_0p05,809,0.05,40.0,120.0,SUCCESS,67.639218,Single;Multi;Surface,,
seed_809_Y_0p2,809,0.2,40.0,120.0,SUCCESS,63.175563,Single;Multi;Surface,,
seed_907_Y_0p004,907,0.004,40.0,120.0,SUCCESS,66.751446,Single;Multi;Surface,,
seed_907_Y_0p01,907,0.01,40.0,120.0,SUCCESS,67.073339,Single;Multi;Surface,,
seed_907_Y_0p02,907,0.02,40.0,120.0,SUCCESS,68.886611,Single;Multi;Surface,,
seed_907_Y_0p05,907,0.05,40.0,120.0,SUCCESS,73.290345,Single;Multi;Surface,,
seed_907_Y_0p2,907,0.2,40.0,120.0,SUCCESS,71.352402,Single;Multi;Surface,,
seed_1009_Y_0p004,1009,0.004,40.0,120.0,SUCCESS,64.408896,Single;Multi;Surface,,
seed_1009_Y_0p01,1009,0.01,40.0,120.0,SUCCESS,66.110485,Single;Multi;Surface,,
seed_1009_Y_0p02,1009,0.02,40.0,120.0,SUCCESS,74.274396,Single;Multi;Surface,,
seed_1009_Y_0p05,1009,0.05,40.0,120.0,SUCCESS,63.462967,Single;Multi;Surface,,
seed_1009_Y_0p2,1009,0.2,40.0,120.0,SUCCESS,63.138103,Single;Multi;Surface,,
seed_1103_Y_0p004,1103,0.004,40.0,120.0,SUCCESS,68.882610,Single;Multi;Surface,,
seed_1103_Y_0p01,1103,0.01,40.0,120.0,SUCCESS,65.514517,Single;Multi;Surface,,
seed_1103_Y_0p02,1103,0.02,40.0,120.0,SUCCESS,62.226589,Single;Multi;Surface,,
seed_1103_Y_0p05,1103,0.05,40.0,120.0,SUCCESS,65.680175,Single;Multi;Surface,,
seed_1103_Y_0p2,1103,0.2,40.0,120.0,SUCCESS,60.474370,Single;Multi;Surface,,
seed_1201_Y_0p004,1201,0.004,40.0,120.0,SUCCESS,69.610346,Single;Multi;Surface,,
seed_1201_Y_0p01,1201,0.01,40.0,120.0,SUCCESS,73.166136,Single;Multi;Surface,,
seed_1201_Y_0p02,1201,0.02,40.0,120.0,SUCCESS,72.105537,Single;Multi;Surface,,
seed_1201_Y_0p05,1201,0.05,40.0,120.0,SUCCESS,67.925463,Single;Multi;Surface,,
seed_1201_Y_0p2,1201,0.2,40.0,120.0,SUCCESS,62.045457,Single;Multi;Surface,,
seed_1307_Y_0p004,1307,0.004,40.0,120.0,SUCCESS,72.956035,Single;Multi;Surface,,
seed_1307_Y_0p01,1307,0.01,40.0,120.0,SUCCESS,70.206219,Single;Multi;Surface,,
