test_id,seed,intensity_multiplier,Y,sigma_m,influence_radius_m,status,runtime_s,completed_scenarios,failed_scenarios,error
seed_113_intensity_0p25x,113,0.25,0.05,40.0,120.0,SUCCESS,103.006207,Single;Multi;Surface,,
seed_113_intensity_0p5x,113,0.5,0.05,40.0,120.0,SUCCESS,88.106146,Single;Multi;Surface,,
seed_113_intensity_1x,113,1.0,0.05,40.0,120.0,SUCCESS,104.260327,Single;Multi;Surface,,
seed_113_intensity_2x,113,2.0,0.05,40.0,120.0,SUCCESS,93.268505,Single;Multi;Surface,,
seed_113_intensity_4x,113,4.0,0.05,40.0,120.0,SUCCESS,96.813650,Single;Multi;Surface,,
seed_227_intensity_0p25x,227,0.25,0.05,40.0,120.0,SUCCESS,86.730622,Single;Multi;Surface,,
seed_227_intensity_0p5x,227,0.5,0.05,40.0,120.0,SUCCESS,97.036002,Single;Multi;Surface,,
seed_227_intensity_1x,227,1.0,0.05,40.0,120.0,SUCCESS,87.949196,Single;Multi;Surface,,
seed_227_intensity_2x,227,2.0,0.05,40.0,120.0,SUCCESS,85.578830,Single;Multi;Surface,,
seed_227_intensity_4x,227,4.0,0.05,40.0,120.0,SUCCESS,89.001027,Single;Multi;Surface,,
seed_331_intensity_0p25x,331,0.25,0.05,40.0,120.0,SUCCESS,89.561826,Single;Multi;Surface,,
seed_331_intensity_0p5x,331,0.5,0.05,40.0,120.0,SUCCESS,81.758106,Single;Multi;Surface,,
seed_331_intensity_1x,331,1.0,0.05,40.0,120.0,SUCCESS,90.216690,Single;Multi;Surface,,
seed_331_intensity_2x,331,2.0,0.05,40.0,120.0,SUCCESS,90.685538,Single;Multi;Surface,,
seed_331_intensity_4x,331,4.0,0.05,40.0,120.0,SUCCESS,93.792187,Single;Multi;Surface,,
seed_439_intensity_0p25x,439,0.25,0.05,40.0,120.0,SUCCESS,87.513025,Single;Multi;Surface,,
seed_439_intensity_0p5x,439,0.5,0.05,40.0,120.0,SUCCESS,86.204767,Single;Multi;Surface,,
seed_439_intensity_1x,439,1.0,0.05,40.0,120.0,SUCCESS,84.852668,Single;Multi;Surface,,
seed_439_intensity_2x,439,2.0,0.05,40.0,120.0,SUCCESS,90.141881,Single;Multi;Surface,,
seed_439_intensity_4x,439,4.0,0.05,40.0,120.0,SUCCESS,88.445184,Single;Multi;Surface,,
seed_547_intensity_0p25x,547,0.25,0.05,40.0,120.0,SUCCESS,89.855107,Single;Multi;Surface,,
seed_547_intensity_0p5x,547,0.5,0.05,40.0,120.0,SUCCESS,93.408734,Single;Multi;Surface,,
seed_547_intensity_1x,547,1.0,0.05,40.0,120.0,SUCCESS,100.231782,Single;Multi;Surface,,
seed_547_intensity_2x,547,2.0,0.05,40.0,120.0,SUCCESS,91.071196,Single;Multi;Surface,,
seed_547_intensity_4x,547,4.0,0.05,40.0,120.0,SUCCESS,93.934826,Single;Multi;Surface,,
seed_653_intensity_0p25x,653,0.25,0.05,40.0,120.0,SUCCESS,84.959434,Single;Multi;Surface,,
seed_653_intensity_0p5x,653,0.5,0.05,40.0,120.0,SUCCESS,80.778717,Single;Multi;Surface,,
seed_653_intensity_1x,653,1.0,0.05,40.0,120.0,SUCCESS,87.623943,Single;Multi;Surface,,
seed_653_intensity_2x,653,2.0,0.05,40.0,120.0,SUCCESS,85.706965,Single;Multi;Surface,,
seed_653_intensity_4x,653,4.0,0.05,40.0,120.0,SUCCESS,89.990972,Single;Multi;Surface,,
seed_761_intensity_0p25x,761,0.25,0.05,40.0,120.0,SUCCESS,86.223057,Single;Multi;Surface,,
seed_761_intensity_0p5x,761,0.5,0.05,40.0,120.0,SUCCESS,84.754514,Single;Multi;Surface,,
seed_761_intensity_1x,761,1.0,0.05,40.0,120.0,SUCCESS,94.402616,Single;Multi;Surface,,
seed_761_intensity_2x,761,2.0,0.05,40.0,120.0,SUCCESS,90.964559,Single;Multi;Surface,,
seed_761_intensity_4x,761,4.0,0.05,40.0,120.0,SUCCESS,97.965065,Single;Multi;Surface,,
seed_877_intensity_0p25x,877,0.25,0.05,40.0,120.0,SUCCESS,87.647455,Single;Multi;Surface,,
seed_877_intensity_0p5x,877,0.5,0.05,40.0,120.0,SUCCESS,84.852527,Single;Multi;Surface,,
seed_877_intensity_1x,877,1.0,0.05,40.0,120.0,SUCCESS,84.841169,Single;Multi;Surface,,
seed_877_intensity_2x,877,2.0,0.05,40.0,120.0,SUCCESS,92.913793,Single;Multi;Surface,,
seed_877_intensity_4x,877,4.0,0.05,40.0,120.0,SUCCESS,85.262259,Single;Multi;Surface,,
seed_983_intensity_0p25x,983,0.25,0.05,40.0,120.0,SUCCESS,83.428813,Single;Multi;Surface,,
seed_983_intensity_0p5x,983,0.5,0.05,40.0,120.0,SUCCESS,92.602210,Single;Multi;Surface,,
seed_983_intensity_1x,983,1.0,0.05,40.0,120.0,SUCCESS,87.929687,Single;Multi;Surface,,
seed_983_intensity_2x,983,2.0,0.05,40.0,120.0,SUCCESS,84.052388,Single;Multi;Surface,,
seed_983_intensity_4x,983,4.0,0.05,40.0,120.0,SUCCESS,95.827670,Single;Multi;Surface,,
seed_1091_intensity_0p25x,1091,0.25,0.05,40.0,120.0,SUCCESS,86.637409,Single;Multi;Surface,,
seed_1091_intensity_0p5x,1091,0.5,0.05,40.0,120.0,SUCCESS,85.812208,Single;Multi;Surface,,
seed_1091_intensity_1x,1091,1.0,0.05,40.0,120.0,SUCCESS,83.696230,Single;Multi;Surface,,
seed_1091_intensity_2x,1091,2.0,0.05,40.0,120.0,SUCCESS,86.303532,Single;Multi;Surface,,
seed_1091_intensity_4x,1091,4.0,0.05,40.0,120.0,SUCCESS,88.081477,Single;Multi;Surface,,
seed_1193_intensity_0p25x,1193,0.25,0.05,40.0,120.0,SUCCESS,87.023156,Single;Multi;Surface,,
seed_1193_intensity_0p5x,1193,0.5,0.05,40.0,120.0,SUCCESS,88.611446,Single;Multi;Surface,,
seed_1193_intensity_1x,1193,1.0,0.05,40.0,120.0,SUCCESS,83.964422,Single;Multi;Surface,,
seed_1193_intensity_2x,1193,2.0,0.05,40.0,120.0,SUCCESS,86.194393,Single;Multi;Surface,,
seed_1193_intensity_4x,1193,4.0,0.05,40.0,120.0,SUCCESS,94.956829,Single;Multi;Surface,,
seed_1297_intensity_0p25x,1297,0.25,0.05,40.0,120.0,SUCCESS,81.961178,Single;Multi;Surface,,
seed_1297_intensity_0p5x,1297,0.5,0.05,40.0,120.0,SUCCESS,84.191813,Single;Multi;Surface,,
seed_1297_intensity_1x,1297,1.0,0.05,40.0,120.0,SUCCESS,82.474394,Single;Multi;Surface,,
seed_1297_intensity_2x,1297,2.0,0.05,40.0,120.0,SUCCESS,84.903994,Single;Multi;Surface,,
seed_1297_intensity_4x,1297,4.0,0.05,40.0,120.0,SUCCESS,89.395657,Single;Multi;Surface,,
seed_1423_intensity_0p25x,1423,0.25,0.05,40.0,120.0,SUCCESS,91.057130,Single;Multi;Surface,,
seed_1423_intensity_0p5x,1423,0.5,0.05,40.0,120.0,SUCCESS,85.974959,Single;Multi;Surface,,
seed_1423_intensity_1x,1423,1.0,0.05,40.0,120.0,SUCCESS,88.667524,Single;Multi;Surface,,
seed_1423_intensity_2x,1423,2.0,0.05,40.0,120.0,SUCCESS,87.211917,Single;Multi;Surface,,
seed_1423_intensity_4x,1423,4.0,0.05,40.0,120.0,SUCCESS,95.049828,Single;Multi;Surface,,
seed_1523_intensity_0p25x,1523,0.25,0.05,40.0,120.0,SUCCESS,86.419471,Single;Multi;Surface,,
seed_1523_intensity_0p5x,1523,0.5,0.05,40.0,120.0,SUCCESS,90.737401,Single;Multi;Surface,,
seed_1523_intensity_1x,1523,1.0,0.05,40.0,120.0,SUCCESS,87.999779,Single;Multi;Surface,,
seed_1523_intensity_2x,1523,2.0,0.05,40.0,120.0,SUCCESS,94.419927,Single;Multi;Surface,,
seed_1523_intensity_4x,1523,4.0,0.05,40.0,120.0,SUCCESS,90.853524,Single;Multi;Surface,,
seed_1627_intensity_0p25x,1627,0.25,0.05,40.0,120.0,SUCCESS,86.302618,Single;Multi;Surface,,
seed_1627_intensity_0p5x,1627,0.5,0.05,40.0,120.0,SUCCESS,89.122272,Single;Multi;Surface,,
seed_1627_intensity_1x,1627,1.0,0.05,40.0,120.0,SUCCESS,86.105221,Single;Multi;Surface,,
seed_1627_intensity_2x,1627,2.0,0.05,40.0,120.0,SUCCESS,94.664363,Single;Multi;Surface,,
seed_1627_intensity_4x,1627,4.0,0.05,40.0,120.0,SUCCESS,96.807338,Single;Multi;Surface,,
seed_1733_intensity_0p25x,1733,0.25,0.05,40.0,120.0,SUCCESS,83.830453,Single;Multi;Surface,,
seed_1733_intensity_0p5x,1733,0.5,0.05,40.0,120.0,SUCCESS,84.585300,Single;Multi;Surface,,
seed_1733_intensity_1x,1733,1.0,0.05,40.0,120.0,SUCCESS,94.396466,Single;Multi;Surface,,
seed_1733_intensity_2x,1733,2.0,0.05,40.0,120.0,SUCCESS,96.186596,Single;Multi;Surface,,
seed_1733_intensity_4x,1733,4.0,0.05,40.0,120.0,SUCCESS,90.069673,Single;Multi;Surface,,
seed_1831_intensity_0p25x,1831,0.25,0.05,40.0,120.0,SUCCESS,84.184112,Single;Multi;Surface,,
seed_1831_intensity_0p5x,1831,0.5,0.05,40.0,120.0,SUCCESS,86.030855,Single;Multi;Surface,,
seed_1831_intensity_1x,1831,1.0,0.05,40.0,120.0,SUCCESS,82.627450,Single;Multi;Surface,,
seed_1831_intensity_2x,1831,2.0,0.05,40.0,120.0,SUCCESS,89.507879,Single;Multi;Surface,,
seed_1831_intensity_4x,1831,4.0,0.05,40.0,120.0,SUCCESS,97.661449,Single;Multi;Surface,,
seed_1931_intensity_0p25x,1931,0.25,0.05,40.0,120.0,SUCCESS,81.846780,Single;Multi;Surface,,
seed_1931_intensity_0p5x,1931,0.5,0.05,40.0,120.0,SUCCESS,82.199909,Single;Multi;Surface,,
seed_1931_intensity_1x,1931,1.0,0.05,40.0,120.0,SUCCESS,85.812337,Single;Multi;Surface,,
seed_1931_intensity_2x,1931,2.0,0.05,40.0,120.0,SUCCESS,85.723749,Single;Multi;Surface,,
seed_1931_intensity_4x,1931,4.0,0.05,40.0,120.0,SUCCESS,86.161213,Single;Multi;Surface,,
seed_2027_intensity_0p25x,2027,0.25,0.05,40.0,120.0,SUCCESS,84.895742,Single;Multi;Surface,,
seed_2027_intensity_0p5x,2027,0.5,0.05,40.0,120.0,SUCCESS,84.991576,Single;Multi;Surface,,
seed_2027_intensity_1x,2027,1.0,0.05,40.0,120.0,SUCCESS,91.861433,Single;Multi;Surface,,
seed_2027_intensity_2x,2027,2.0,0.05,40.0,120.0,SUCCESS,88.906996,Single;Multi;Surface,,
seed_2027_intensity_4x,2027,4.0,0.05,40.0,120.0,SUCCESS,104.547289,Single;Multi;Surface,,
seed_2131_intensity_0p25x,2131,0.25,0.05,40.0,120.0,SUCCESS,93.740649,Single;Multi;Surface,,
seed_2131_intensity_0p5x,2131,0.5,0.05,40.0,120.0,SUCCESS,91.904575,Single;Multi;Surface,,
seed_2131_intensity_1x,2131,1.0,0.05,40.0,120.0,SUCCESS,87.550460,Single;Multi;Surface,,
seed_2131_intensity_2x,2131,2.0,0.05,40.0,120.0,SUCCESS,93.043895,Single;Multi;Surface,,
seed_2131_intensity_4x,2131,4.0,0.05,40.0,120.0,SUCCESS,103.172389,Single;Multi;Surface,,
