step_index,sampling_mode,mode,mode_after_step,x_m,y_m,executed_distance_step_m,total_executed_distance_m,remaining_budget_m,simulated_time_s,radiation_measurement,radiation_quantity,radiation_unit,radiation_trigger_confirmed,normal_route_interrupted,selected_next_x_m,selected_next_y_m,sar_score,predicted_radiation,planning_time_s
0,DEBUG_NODE_SAMPLING,NORMAL,NORMAL,522985.920497467,5696989.290406497,0.0,0.0,1200.0,0.0,8.673858147619624,synthetic_total_gamma_dose_rate,uSv/h,False,False,,,,,
1,DEBUG_NODE_SAMPLING,NORMAL,NORMAL,523015.920497467,5696959.290406497,42.42640687119285,42.42640687119285,1157.5735931288073,0.0,5.462880901011014,synthetic_total_gamma_dose_rate,uSv/h,False,False,,,,,
2,DEBUG_NODE_SAMPLING,NORMAL,RADIATION,523045.920497467,5696929.290406497,42.42640687119285,84.8528137423857,1115.1471862576143,0.0,2.6629935223291548,synthetic_total_gamma_dose_rate,uSv/h,True,True,,,,,
3,DEBUG_NODE_SAMPLING,RADIATION,RADIATION,523075.920497467,5696899.290406497,42.42640687119285,127.27922061357856,1072.7207793864213,0.0,1.5054659860845658,synthetic_total_gamma_dose_rate,uSv/h,True,False,523075.920497467,5696899.290406497,0.0014315261821004417,2.6629935223291548,0.0003245000261813402
4,DEBUG_NODE_SAMPLING,RADIATION,RADIATION,523075.920497467,5696929.290406497,30.0,157.27922061357856,1042.7207793864213,0.0,1.8076911946765906,synthetic_total_gamma_dose_rate,uSv/h,True,False,523075.920497467,5696929.290406497,0.001246860524144855,2.108527053211973,0.000278900028206408
5,DEBUG_NODE_SAMPLING,RADIATION,RADIATION,523045.920497467,5696899.290406497,42.42640687119285,199.7056274847714,1000.2943725152286,0.0,2.0181487609327737,synthetic_total_gamma_dose_rate,uSv/h,True,False,523045.920497467,5696899.290406497,0.0012468605241446856,2.0897255037138263,0.00024590000975877047
6,DEBUG_NODE_SAMPLING,RADIATION,RADIATION,523015.920497467,5696899.290406497,30.0,229.7056274847714,970.2943725152286,0.0,2.6629935223283074,synthetic_total_gamma_dose_rate,uSv/h,True,False,523015.920497467,5696899.290406497,0.0010999529402862392,2.0969284244168525,0.0002457000082358718
7,DEBUG_NODE_SAMPLING,RADIATION,RADIATION,522985.920497467,5696869.290406497,42.42640687119285,272.13203435596427,927.8679656440357,0.0,2.0181487609318505,synthetic_total_gamma_dose_rate,uSv/h,True,False,522985.920497467,5696869.290406497,0.001364755048995123,2.6629935223283074,0.00022390001686289907
8,DEBUG_NODE_SAMPLING,RADIATION,RADIATION,522985.920497467,5696899.290406497,30.0,302.13203435596427,897.8679656440357,0.0,3.193922337655187,synthetic_total_gamma_dose_rate,uSv/h,True,False,522985.920497467,5696899.290406497,0.0010422735856456312,2.3360380964582927,0.0002701000194065273
9,DEBUG_NODE_SAMPLING,RADIATION,RADIATION,522955.920497467,5696899.290406497,30.0,332.13203435596427,867.8679656440357,0.0,3.1939223376539356,synthetic_total_gamma_dose_rate,uSv/h,True,False,522955.920497467,5696899.290406497,0.0010999529402858108,3.057180018272269,0.000235699990298599
10,DEBUG_NODE_SAMPLING,RADIATION,RADIATION,522925.920497467,5696869.290406497,42.42640687119285,374.5584412271571,825.4415587728429,0.0,1.807691194674785,synthetic_total_gamma_dose_rate,uSv/h,True,False,522925.920497467,5696869.290406497,0.001490830461525508,3.1939223376539356,0.00021470000501722097
11,DEBUG_NODE_SAMPLING,RADIATION,RADIATION,522925.920497467,5696899.290406497,30.0,404.5584412271571,795.4415587728429,0.0,2.662993522325765,synthetic_total_gamma_dose_rate,uSv/h,True,False,522925.920497467,5696899.290406497,0.0012468605241440101,2.4910620201947204,0.00025919999461621046
12,DEBUG_NODE_SAMPLING,RADIATION,RADIATION,522895.920497467,5696929.290406497,42.42640687119285,446.98484809834997,753.01515190165,0.0,2.6629935223249177,synthetic_total_gamma_dose_rate,uSv/h,True,False,522895.920497467,5696929.290406497,0.0012468605241438412,2.662993522325765,0.00023309997050091624
13,DEBUG_NODE_SAMPLING,RADIATION,RADIATION,522865.920497467,5696899.290406497,42.42640687119285,489.4112549695428,710.5887450304572,0.0,1.5054659860828994,synthetic_total_gamma_dose_rate,uSv/h,True,False,522865.920497467,5696899.290406497,0.0016138837069038993,2.6629935223249177,0.00023330003023147583
14,DEBUG_NODE_SAMPLING,RADIATION,RADIATION,522895.920497467,5696899.290406497,30.0,519.4112549695428,680.5887450304572,0.0,2.018148760930465,synthetic_total_gamma_dose_rate,uSv/h,True,False,522895.920497467,5696899.290406497,0.00143152618209971,2.241339187741533,0.00025839998852461576
15,DEBUG_NODE_SAMPLING,RADIATION,RADIATION,522865.920497467,5696929.290406497,42.42640687119285,561.8376618407357,638.1623381592643,0.0,1.807691194674063,synthetic_total_gamma_dose_rate,uSv/h,True,False,522865.920497467,5696929.290406497,0.0014908304615252905,2.0725624843541155,0.00022119999630376697
16,DEBUG_NODE_SAMPLING,RADIATION,RADIATION,522895.920497467,5696959.290406497,42.42640687119285,604.2640687119285,595.7359312880715,0.0,3.193922337651431,synthetic_total_gamma_dose_rate,uSv/h,True,False,522895.920497467,5696959.290406497,0.0010999529402853836,2.555895697354841,0.00023340003099292517
17,DEBUG_NODE_SAMPLING,RADIATION,RADIATION,522865.920497467,5696989.290406497,42.42640687119285,646.6904755831214,553.3095244168786,0.0,2.018148760930003,synthetic_total_gamma_dose_rate,uSv/h,True,False,522865.920497467,5696989.290406497,0.0013647550489945723,3.193922337651431,0.00022330001229420304
