controller_call_index,executed_step_index,mode_before,mode_after,moved,normal_route_interrupted,normal_route_replanned,radiation_decision_reason,radiation_planning_time_s,continuation_planning_time_s,mission_complete
0,0,NORMAL,NORMAL,True,False,False,,,,False
1,1,NORMAL,NORMAL,True,False,False,,,,False
2,2,NORMAL,RADIATION,True,True,False,,,,False
3,3,RADIATION,RADIATION,True,False,False,radiation_priority,0.0003245000261813402,,False
4,4,RADIATION,RADIATION,True,False,False,radiation_priority,0.000278900028206408,,False
5,5,RADIATION,RADIATION,True,False,False,radiation_priority,0.00024590000975877047,,False
6,6,RADIATION,RADIATION,True,False,False,radiation_priority,0.0002457000082358718,,False
7,7,RADIATION,RADIATION,True,False,False,radiation_priority,0.00022390001686289907,,False
8,8,RADIATION,RADIATION,True,False,False,radiation_priority,0.0002701000194065273,,False
9,9,RADIATION,RADIATION,True,False,False,radiation_priority,0.000235699990298599,,False
10,10,RADIATION,RADIATION,True,False,False,radiation_priority,0.00021470000501722097,,False
11,11,RADIATION,RADIATION,True,False,False,radiation_priority,0.00025919999461621046,,False
12,12,RADIATION,RADIATION,True,False,False,radiation_priority,0.00023309997050091624,,False
13,13,RADIATION,RADIATION,True,False,False,radiation_priority,0.00023330003023147583,,False
14,14,RADIATION,RADIATION,True,False,False,radiation_priority,0.00025839998852461576,,False
15,15,RADIATION,RADIATION,True,False,False,radiation_priority,0.00022119999630376697,,False
16,16,RADIATION,RADIATION,True,False,False,radiation_priority,0.00023340003099292517,,False
17,17,RADIATION,RADIATION,True,False,False,radiation_priority,0.00022330001229420304,,False
18,18,RADIATION,RADIATION,True,False,False,radiation_priority,0.00026950001483783126,,False
19,19,RADIATION,RADIATION,True,False,False,radiation_priority,0.00021170004038140178,,False
20,20,RADIATION,RADIATION,True,False,False,radiation_priority,0.00021440000273287296,,False
21,21,RADIATION,RADIATION,True,False,False,radiation_priority,0.00024889997439458966,,False
22,22,RADIATION,RADIATION,True,False,False,radiation_priority,0.00020670000230893493,,False
23,23,RADIATION,RADIATION,True,False,False,radiation_priority,0.0002442999975755811,,False
24,24,RADIATION,RADIATION,True,False,False,radiation_priority,0.00019319995772093534,,False
25,25,RADIATION,RADIATION,True,False,False,radiation_priority,0.00024909997591748834,,False
26,26,RADIATION,RADIATION,True,False,False,radiation_priority,0.00021869997726753354,,False
27,27,RADIATION,RADIATION,True,False,False,radiation_priority,0.0002442999975755811,,False
28,28,RADIATION,RADIATION,True,False,False,radiation_priority,0.00020820001373067498,,False
29,29,RADIATION,RADIATION,True,False,False,radiation_priority,0.00023300002794712782,,False
30,30,RADIATION,RADIATION,True,False,False,radiation_priority,0.0002300000051036477,,False
31,31,RADIATION,RADIATION,True,False,False,radiation_priority,0.00023060000967234373,,False
32,,RADIATION,NORMAL,False,False,True,radiation_priority,0.0002080000122077763,0.0005585000035353005,False
33,32,NORMAL,COMPLETE,True,False,False,,,,True
