step_index,sampling_mode,x_m,y_m,simulated_time_s,value,quantity,unit
0,DEBUG_NODE_SAMPLING,522985.920497467,5696989.290406497,0.0,8.673858147619624,synthetic_total_gamma_dose_rate,uSv/h
1,DEBUG_NODE_SAMPLING,523015.920497467,5696959.290406497,0.0,5.462880901011014,synthetic_total_gamma_dose_rate,uSv/h
2,DEBUG_NODE_SAMPLING,523045.920497467,5696929.290406497,0.0,2.6629935223291548,synthetic_total_gamma_dose_rate,uSv/h
3,DEBUG_NODE_SAMPLING,523075.920497467,5696899.290406497,0.0,1.5054659860845658,synthetic_total_gamma_dose_rate,uSv/h
4,DEBUG_NODE_SAMPLING,523075.920497467,5696929.290406497,0.0,1.8076911946765906,synthetic_total_gamma_dose_rate,uSv/h
5,DEBUG_NODE_SAMPLING,523045.920497467,5696899.290406497,0.0,2.0181487609327737,synthetic_total_gamma_dose_rate,uSv/h
6,DEBUG_NODE_SAMPLING,523015.920497467,5696899.290406497,0.0,2.6629935223283074,synthetic_total_gamma_dose_rate,uSv/h
7,DEBUG_NODE_SAMPLING,522985.920497467,5696869.290406497,0.0,2.0181487609318505,synthetic_total_gamma_dose_rate,uSv/h
8,DEBUG_NODE_SAMPLING,522985.920497467,5696899.290406497,0.0,3.193922337655187,synthetic_total_gamma_dose_rate,uSv/h
9,DEBUG_NODE_SAMPLING,522955.920497467,5696899.290406497,0.0,3.1939223376539356,synthetic_total_gamma_dose_rate,uSv/h
10,DEBUG_NODE_SAMPLING,522925.920497467,5696869.290406497,0.0,1.807691194674785,synthetic_total_gamma_dose_rate,uSv/h
11,DEBUG_NODE_SAMPLING,522925.920497467,5696899.290406497,0.0,2.662993522325765,synthetic_total_gamma_dose_rate,uSv/h
12,DEBUG_NODE_SAMPLING,522895.920497467,5696929.290406497,0.0,2.6629935223249177,synthetic_total_gamma_dose_rate,uSv/h
13,DEBUG_NODE_SAMPLING,522865.920497467,5696899.290406497,0.0,1.5054659860828994,synthetic_total_gamma_dose_rate,uSv/h
14,DEBUG_NODE_SAMPLING,522895.920497467,5696899.290406497,0.0,2.018148760930465,synthetic_total_gamma_dose_rate,uSv/h
15,DEBUG_NODE_SAMPLING,522865.920497467,5696929.290406497,0.0,1.807691194674063,synthetic_total_gamma_dose_rate,uSv/h
16,DEBUG_NODE_SAMPLING,522895.920497467,5696959.290406497,0.0,3.193922337651431,synthetic_total_gamma_dose_rate,uSv/h
17,DEBUG_NODE_SAMPLING,522865.920497467,5696989.290406497,0.0,2.018148760930003,synthetic_total_gamma_dose_rate,uSv/h
18,DEBUG_NODE_SAMPLING,522895.920497467,5696989.290406497,0.0,3.193922337651431,synthetic_total_gamma_dose_rate,uSv/h
19,DEBUG_NODE_SAMPLING,522895.920497467,5697019.290406497,0.0,2.6629935223249177,synthetic_total_gamma_dose_rate,uSv/h
20,DEBUG_NODE_SAMPLING,522865.920497467,5697049.290406497,0.0,1.5054659860828994,synthetic_total_gamma_dose_rate,uSv/h
21,DEBUG_NODE_SAMPLING,522865.920497467,5697019.290406497,0.0,1.807691194674063,synthetic_total_gamma_dose_rate,uSv/h
22,DEBUG_NODE_SAMPLING,522835.920497467,5696989.290406497,0.0,1.3933031825386926,synthetic_total_gamma_dose_rate,uSv/h
23,DEBUG_NODE_SAMPLING,522865.920497467,5696959.290406497,0.0,2.018148760930003,synthetic_total_gamma_dose_rate,uSv/h
24,DEBUG_NODE_SAMPLING,522835.920497467,5696929.290406497,0.0,1.298889023196788,synthetic_total_gamma_dose_rate,uSv/h
25,DEBUG_NODE_SAMPLING,522835.920497467,5696959.290406497,0.0,1.3933031825386926,synthetic_total_gamma_dose_rate,uSv/h
26,DEBUG_NODE_SAMPLING,522805.920497467,5696989.290406497,0.0,1.0347175733085354,synthetic_total_gamma_dose_rate,uSv/h
27,DEBUG_NODE_SAMPLING,522835.920497467,5697019.290406497,0.0,1.298889023196788,synthetic_total_gamma_dose_rate,uSv/h
28,DEBUG_NODE_SAMPLING,522835.920497467,5697049.290406497,0.0,1.1487576019197197,synthetic_total_gamma_dose_rate,uSv/h
29,DEBUG_NODE_SAMPLING,522865.920497467,5697079.290406497,0.0,1.2183195690466513,synthetic_total_gamma_dose_rate,uSv/h
30,DEBUG_NODE_SAMPLING,522895.920497467,5697079.290406497,0.0,1.5054659860831374,synthetic_total_gamma_dose_rate,uSv/h
31,DEBUG_NODE_SAMPLING,522925.920497467,5697049.290406497,0.0,2.662993522325765,synthetic_total_gamma_dose_rate,uSv/h
32,DEBUG_NODE_SAMPLING,522949.8901936637,5697073.260102694,0.0,2.1627047713408327,synthetic_total_gamma_dose_rate,uSv/h
