metric,unit,original,radiation_aware,absolute_delta_radiation_aware_minus_original,relative_change_percent
sar_likelihood_score,probability,0.9357528759397921,0.9444895804851107,0.008736704545318608,0.9336551102281349
sar_time_discounted_score,score,0.13976034472876997,0.13964300405006327,-0.00011734067870669551,-0.08395849261420767
survivors_found,count,92.0,95.0,3.0,3.260869565217391
covered_area,km^2,1.0613814965225454,1.0692418817339064,0.00786038521136101,0.7405805770229048
route_distance,m,87209.92201030577,86911.68824536075,-298.2337649450201,-0.3419722871782607
uav_excess_exposure_distance_integral,uSv/h*m,18653.496819375614,11672.821079515925,-6980.675739859689,-37.42288005007606
uav_total_exposure_distance_integral,uSv/h*m,36095.48122143705,29055.158728588096,-7040.322492848951,-19.504719855813185
uav_cumulative_excess_dose,uSv,0.5181526894271004,0.32424502998655347,-0.1939076594405469,-37.42288005007606
uav_cumulative_total_dose,uSv,1.0026522561510292,0.8070877424607804,-0.19556451369024874,-19.504719855813192
survivor_total_pre_discovery_dose,uSv,209.98357427175412,29.752717316825485,-180.23085695492864,-85.83093110020098
survivor_mean_pre_discovery_dose,uSv,2.0998357427175414,0.29752717316825483,-1.8023085695492864,-85.83093110020098
survivor_median_pre_discovery_dose,uSv,0.08144106397461735,0.13457784875654277,0.05313678478192542,65.2456907960909
survivor_p95_pre_discovery_dose,uSv,0.6160865126925754,0.5810158781827066,-0.0350706345098688,-5.692485355115849
survivor_max_pre_discovery_dose,uSv,141.13573556003809,7.442581039823527,-133.69315452021456,-94.72665019224878
heading_changes,count,2888.0,2876.0,-12.0,-0.4155124653739612
total_absolute_heading_change,deg,265725.00000001315,263340.000000017,-2384.9999999961583,-0.8975444538511771
