survivor_id,x_m,y_m,original_found,radiation_aware_found,original_discovery_distance_m,radiation_aware_discovery_distance_m,discovery_distance_delta_aware_minus_original_m,original_pre_discovery_total_dose,radiation_aware_pre_discovery_total_dose,dose_unit,dose_delta_original_minus_radiation_aware,dose_reduction_ratio,dose_reduction_percent
0,522531.1632305748,5697307.707819163,True,True,12312.334344135972,31541.041062606564,19228.706718470592,0.07559915446857864,0.1936656338874875,uSv,-0.11806647941890887,-1.5617433852118145,-156.17433852118145
1,522989.911939769,5696998.082866692,True,True,25324.205276916357,42383.67642191061,17059.471144994255,0.20067525496876457,0.33585871617591767,uSv,-0.1351834612071531,-0.6736429024505021,-67.36429024505021
2,523210.69191053987,5697322.3069615625,True,True,13445.235532310564,13435.474567702347,-9.760964608216455,0.09245211851255426,0.09238500017501476,uSv,6.711833753950125e-05,0.0007259794434065576,0.07259794434065577
3,522860.35092734295,5697117.848375036,True,True,8251.504696403099,12367.97222621604,4116.4675298129405,0.05696331378387389,0.08538087399977946,uSv,-0.028417560215905573,-0.4988747726953779,-49.88747726953778
4,523223.46626941144,5697050.489098367,True,True,5741.782251314327,9949.933108381261,4208.150857066934,0.05074779321776051,0.08794083889180893,uSv,-0.037193045674048415,-0.7328997640242559,-73.2899764024256
5,522807.8093875928,5697320.909680355,True,True,7240.171723545992,12637.313954921614,5397.142231375622,0.04637659594215953,0.08094774895678493,uSv,-0.0345711530146254,-0.7454439531901441,-74.54439531901441
6,523399.8629951768,5697371.867266273,True,True,16300.061319357965,29753.878201847896,13453.816882489931,0.11032236409809384,0.20138072612133553,uSv,-0.09105836202324169,-0.8253844337697165,-82.53844337697166
7,523020.34247733833,5697202.789569433,True,True,42671.66365145685,41088.09388950803,-1583.56976194882,0.300210975616285,0.28906997518390853,uSv,0.01114100043237648,0.03711057002331707,3.7110570023317075
8,523035.1448593758,5697561.387719356,True,True,14814.091703477947,54398.29928989788,39584.20758641993,0.09249855677619252,0.3396606606811817,uSv,-0.24716210390498922,-2.672064435589165,-267.20644355891653
9,522489.86439560197,5696928.86040992,True,True,1970.3980326828687,1970.3980326828687,0.0,0.012504505926977147,0.012504505926977147,uSv,0.0,0.0,0.0
