survivor_id,x_m,y_m,found,first_discovery_distance_m,first_discovery_fraction_of_mission,exposure_end_distance_m,radiation_quantity,radiation_rate_unit,radiation_dose_unit,ground_truth_excess_rate,ground_truth_total_rate,excess_exposure_distance_integral,total_exposure_distance_integral,distance_integral_unit,first_discovery_time_s,exposure_end_time_s,pre_discovery_excess_dose,pre_discovery_total_dose
0,522531.1632305748,5697307.707819163,True,12312.334344135972,0.1411804306244076,12312.334344135972,synthetic_gamma_dose_rate,uSv/h,uSv,0.021044156599356833,0.22104415659935683,259.1026920416368,2721.569560868831,uSv/h*m,1231.2334344135973,1231.2334344135973,0.007197297001156577,0.07559915446857864
1,522989.911939769,5696998.082866692,True,25324.205276916357,0.29038215713486987,25324.205276916357,synthetic_gamma_dose_rate,uSv/h,uSv,0.08527288812733887,0.28527288812733886,2159.468123492253,7224.309178875525,uSv/h*m,2532.4205276916355,2532.4205276916355,0.05998522565256259,0.20067525496876457
2,523210.69191053987,5697322.3069615625,True,13445.235532310564,0.1541709386085876,13445.235532310564,synthetic_gamma_dose_rate,uSv/h,uSv,0.04754317307820259,0.24754317307820262,639.2291599898405,3328.2762664519537,uSv/h*m,1344.5235532310564,1344.5235532310564,0.017756365555273348,0.09245211851255426
3,522860.35092734295,5697117.848375036,True,8251.504696403099,0.09461658153332601,8251.504696403099,synthetic_gamma_dose_rate,uSv/h,uSv,0.04852186015398721,0.24852186015398722,400.3783569388399,2050.67929621946,uSv/h*m,825.1504696403099,825.1504696403099,0.011121621026078886,0.05696331378387389
4,523223.46626941144,5697050.489098367,True,5741.782251314327,0.06583863531761683,5741.782251314327,synthetic_gamma_dose_rate,uSv/h,uSv,0.11818004861141948,0.31818004861141946,678.5641055765128,1826.9205558393783,uSv/h*m,574.1782251314328,574.1782251314328,0.018849002932680912,0.05074779321776051
5,522807.8093875928,5697320.909680355,True,7240.171723545992,0.0830200458462789,7240.171723545992,synthetic_gamma_dose_rate,uSv/h,uSv,0.03059638882433167,0.23059638882433167,221.52310920854475,1669.557453917743,uSv/h*m,724.0171723545992,724.0171723545992,0.0061534197002373545,0.04637659594215953
6,523399.8629951768,5697371.867266273,True,16300.061319357965,0.18690604169364758,16300.061319357965,synthetic_gamma_dose_rate,uSv/h,uSv,0.043655838448576706,0.24365583844857672,711.5928436597853,3971.6051075313785,uSv/h*m,1630.0061319357965,1630.0061319357965,0.01976646787943848,0.11032236409809384
7,523020.34247733833,5697202.789569433,True,42671.66365145685,0.4892982663877885,42671.66365145685,synthetic_gamma_dose_rate,uSv/h,uSv,0.05327334810432868,0.25327334810432867,2273.2623918948902,10807.59512218626,uSv/h*m,4267.166365145686,4267.166365145686,0.06314617755263584,0.300210975616285
8,523035.1448593758,5697561.387719356,True,14814.091703477947,0.16986704450586868,14814.091703477947,synthetic_gamma_dose_rate,uSv/h,uSv,0.024782464601670384,0.2247824646016704,367.1297032473411,3329.948043942931,uSv/h*m,1481.4091703477948,1481.4091703477948,0.010198047312426142,0.09249855677619252
9,522489.86439560197,5696928.86040992,True,1970.3980326828687,0.022593736896703367,1970.3980326828687,synthetic_gamma_dose_rate,uSv/h,uSv,0.028462577562687778,0.22846257756268779,56.08260683460356,450.1622133711773,uSv/h*m,197.03980326828687,197.03980326828687,0.001557850189850099,0.012504505926977147
10,522912.7054397887,5697426.781736954,True,13065.786297656765,0.1498199516347779,13065.786297656765,synthetic_gamma_dose_rate,uSv/h,uSv,0.028734242742334958,0.22873424274233498,375.43547509634345,2988.5927346276967,uSv/h*m,1306.5786297656764,1306.5786297656764,0.010428763197120652,0.08301646485076936
11,523081.1618049589,5697404.802731642,True,13275.857777317175,0.15222875415194545,13275.857777317175,synthetic_gamma_dose_rate,uSv/h,uSv,0.03530516295011175,0.23530516295011175,468.7063221306912,3123.8778775941264,uSv/h*m,1327.5857777317174,1327.5857777317174,0.013019620059185867,0.08677438548872574
12,523489.02482682996,5696713.114939984,True,72822.93706232727,0.8350304114905829,72822.93706232727,synthetic_gamma_dose_rate,uSv/h,uSv,1.089987844829424,1.289987844829424,79376.11622271489,93940.70363518034,uSv/h*m,7282.293706232727,7282.293706232727,2.2048921172976357,2.6094639898661205
13,522826.7882629474,5696489.184836336,True,3282.341782352968,0.037637251664610905,3282.341782352968,synthetic_gamma_dose_rate,uSv/h,uSv,0.07949063009749915,0.2794906300974992,260.91541647458587,917.3837729451795,uSv/h*m,328.2341782352968,328.2341782352968,0.007247650457627385,0.025482882581810543
14,522800.679252997,5697300.557610296,True,7258.024849236263,0.0832247602328846,7258.024849236263,synthetic_gamma_dose_rate,uSv/h,uSv,0.0313712585471009,0.23137125854710092,227.69337408667383,1679.2983439339266,uSv/h*m,725.8024849236264,725.8024849236264,0.006324815946852051,0.04664717622038685
15,522880.77637430094,5697283.50039724,True,20582.501140024502,0.23601100271127665,20582.501140024502,synthetic_gamma_dose_rate,uSv/h,uSv,0.03630875586873368,0.23630875586873368,747.3250090610823,4863.825237065983,uSv/h*m,2058.25011400245,2058.25011400245,0.02075902802947451,0.1351062565851662
16,522780.80445333244,5697234.20960728,True,44930.555114993964,0.5152000377856596,44930.555114993964,synthetic_gamma_dose_rate,uSv/h,uSv,0.03407995755460463,0.23407995755460465,1531.2314112238182,10517.342434222612,uSv/h*m,4493.055511499397,4493.055511499397,0.042534205867328284,0.2921484009506281
17,522636.350175414,5696884.154668293,True,1135.0552066937487,0.013015207221027177,1135.0552066937487,synthetic_gamma_dose_rate,uSv/h,uSv,0.0406495350065868,0.2406495350065868,46.139466358906155,273.1505076976559,uSv/h*m,113.50552066937487,113.50552066937487,0.0012816518433029487,0.007587514102712663
18,523056.24888303294,5696811.009685948,True,5291.916900959539,0.06068021595448947,5291.916900959539,synthetic_gamma_dose_rate,uSv/h,uSv,0.18034884551580166,0.38034884551580167,954.3911036536117,2012.7744838455196,uSv/h*m,529.1916900959538,529.1916900959538,0.0265108639903781,0.055910402329042215
19,523029.82824195357,5697208.030157689,True,42682.39141836607,0.4894212772409337,42682.39141836607,synthetic_gamma_dose_rate,uSv/h,uSv,0.05332124653860136,0.2533212465386014,2275.87831567578,10812.356599348994,uSv/h*m,4268.239141836607,4268.239141836607,0.063218842102105,0.3003432388708054
20,523485.219516135,5697257.951144057,True,6266.390453388688,0.07185409995720643,6266.390453388688,synthetic_gamma_dose_rate,uSv/h,uSv,0.05879872582533676,0.25879872582533675,368.4557741833092,1621.7338648610466,uSv/h*m,626.6390453388688,626.6390453388688,0.010234882616203034,0.045048162912806854
21,523122.4877871183,5696783.395580345,True,5365.733253462851,0.06152663744876152,5365.733253462851,synthetic_gamma_dose_rate,uSv/h,uSv,0.2747422497493821,0.4747422497493821,1474.1936256114552,2547.340276304026,uSv/h*m,536.5733253462852,536.5733253462852,0.040949822933651535,0.07075945211955627
22,523036.36603836226,5696400.433328753,True,30203.304964353298,0.3463287693432877,30203.304964353298,synthetic_gamma_dose_rate,uSv/h,uSv,0.15651812375156354,0.35651812375156355,4727.364624116863,10768.025616987523,uSv/h*m,3020.3304964353297,3020.3304964353297,0.1313156840032462,0.29911182269409786
23,522738.7754857994,5696827.706914632,True,2457.8334059229464,0.02818295612777293,2457.8334059229464,synthetic_gamma_dose_rate,uSv/h,uSv,0.05587397227607872,0.2558739722760787,137.32891558175885,628.8955967663481,uSv/h*m,245.78334059229465,245.78334059229465,0.0038146920994933014,0.01746932213239856
24,522659.9817582529,5697469.835588214,True,53999.846857288634,0.6191938441466255,53999.846857288634,synthetic_gamma_dose_rate,uSv/h,uSv,0.020188159699665004,0.22018815969966501,1090.1575321123962,11890.126903570124,uSv/h*m,5399.984685728863,5399.984685728863,0.030282153669788783,0.3302813028769479
25,522900.9605622476,5697447.671857406,False,,,87209.92201030577,synthetic_gamma_dose_rate,uSv/h,uSv,0.027312735617653103,0.2273127356176531,2381.9415431036277,19823.925945164785,uSv/h*m,,8720.992201030578,0.06616504286398966,0.5506646095879107
26,522939.4673595048,5697340.50662362,True,7098.799996777768,0.08139899489806778,7098.799996777768,synthetic_gamma_dose_rate,uSv/h,uSv,0.035034317110245475,0.23503431711024547,248.70161018932188,1668.4616095448755,uSv/h*m,709.8799996777768,709.8799996777768,0.006908378060814496,0.04634615582069099
