survivor_id,x_m,y_m,found,first_discovery_distance_m,first_discovery_fraction_of_mission,exposure_end_distance_m,radiation_quantity,radiation_rate_unit,radiation_dose_unit,ground_truth_excess_rate,ground_truth_total_rate,excess_exposure_distance_integral,total_exposure_distance_integral,distance_integral_unit,first_discovery_time_s,exposure_end_time_s,pre_discovery_excess_dose,pre_discovery_total_dose
0,522531.1632305748,5697307.707819163,True,31541.041062606564,0.36290908276413775,31541.041062606564,synthetic_gamma_dose_rate,uSv/h,uSv,0.021044156599356833,0.22104415659935683,663.7546074282368,6971.96281994955,uSv/h*m,3154.1041062606564,3154.1041062606564,0.018437627984117688,0.1936656338874875
1,522989.911939769,5696998.082866692,True,42383.67642191061,0.48766371103340067,42383.67642191061,synthetic_gamma_dose_rate,uSv/h,uSv,0.08527288812733887,0.28527288812733886,3614.178497950914,12090.913782333037,uSv/h*m,4238.367642191061,4238.367642191061,0.10039384716530317,0.33585871617591767
2,523210.69191053987,5697322.3069615625,True,13435.474567702347,0.1545876606351565,13435.474567702347,synthetic_gamma_dose_rate,uSv/h,uSv,0.04754317307820259,0.24754317307820262,638.7650927600619,3325.8600063005315,uSv/h*m,1343.5474567702347,1343.5474567702347,0.01774347479889061,0.09238500017501476
3,522860.35092734295,5697117.848375036,True,12367.97222621604,0.1423050509765725,12367.97222621604,synthetic_gamma_dose_rate,uSv/h,uSv,0.04852186015398721,0.24852186015398722,600.1170187488525,3073.7114639920605,uSv/h*m,1236.7972226216039,1236.7972226216039,0.016669917187468124,0.08538087399977946
4,523223.46626941144,5697050.489098367,True,9949.933108381261,0.11448325661666545,9949.933108381261,synthetic_gamma_dose_rate,uSv/h,uSv,0.11818004861141948,0.31818004861141946,1175.8835784288697,3165.8702001051215,uSv/h*m,994.9933108381261,994.9933108381261,0.032663432734135266,0.08794083889180893
5,522807.8093875928,5697320.909680355,True,12637.313954921614,0.14540407866943236,12637.313954921614,synthetic_gamma_dose_rate,uSv/h,uSv,0.03059638882433167,0.23059638882433167,386.65617145993434,2914.1189624442572,uSv/h*m,1263.7313954921615,1263.7313954921615,0.010740449207220398,0.08094774895678493
6,523399.8629951768,5697371.867266273,True,29753.878201847896,0.34234610790035047,29753.878201847896,synthetic_gamma_dose_rate,uSv/h,uSv,0.043655838448576706,0.24365583844857672,1298.9304999984997,7249.706140368079,uSv/h*m,2975.3878201847897,2975.3878201847897,0.0360814027777361,0.20138072612133553
7,523020.34247733833,5697202.789569433,True,41088.09388950803,0.47275682614186554,41088.09388950803,synthetic_gamma_dose_rate,uSv/h,uSv,0.05327334810432868,0.25327334810432867,2188.9003287191017,10406.519106620708,uSv/h*m,4108.809388950804,4108.809388950804,0.06080278690886393,0.28906997518390853
8,523035.1448593758,5697561.387719356,True,54398.29928989788,0.6259031482201314,54398.29928989788,synthetic_gamma_dose_rate,uSv/h,uSv,0.024782464601670384,0.2247824646016704,1348.1239265429654,12227.783784522542,uSv/h*m,5439.829928989788,5439.829928989788,0.037447886848415705,0.3396606606811817
9,522489.86439560197,5696928.86040992,True,1970.3980326828687,0.0226712663447548,1970.3980326828687,synthetic_gamma_dose_rate,uSv/h,uSv,0.028462577562687778,0.22846257756268779,56.08260683460356,450.1622133711773,uSv/h*m,197.03980326828687,197.03980326828687,0.001557850189850099,0.012504505926977147
10,522912.7054397887,5697426.781736954,True,13807.797275900919,0.15887158050503022,13807.797275900919,synthetic_gamma_dose_rate,uSv/h,uSv,0.028734242742334958,0.22873424274233498,396.75659866268836,3158.3160538428724,uSv/h*m,1380.7797275900919,1380.7797275900919,0.01102101662951912,0.08773100149563534
11,523081.1618049589,5697404.802731642,True,13600.328262861756,0.1564844560891121,13600.328262861756,synthetic_gamma_dose_rate,uSv/h,uSv,0.03530516295011175,0.23530516295011175,480.16180549534454,3200.227458067696,uSv/h*m,1360.0328262861756,1360.0328262861756,0.013337827930426238,0.08889520716854711
12,523489.02482682996,5696713.114939984,True,4893.339672585424,0.0563024349356903,4893.339672585424,synthetic_gamma_dose_rate,uSv/h,uSv,1.089987844829424,1.289987844829424,5333.680763739705,6312.34869825679,uSv/h*m,489.3339672585424,489.3339672585424,0.1481577989927696,0.17534301939602195
13,522826.7882629474,5696489.184836336,True,3282.341782352968,0.03776640229432174,3282.341782352968,synthetic_gamma_dose_rate,uSv/h,uSv,0.07949063009749915,0.2794906300974992,260.91541647458587,917.3837729451795,uSv/h*m,328.2341782352968,328.2341782352968,0.007247650457627385,0.025482882581810543
14,522800.679252997,5697300.557610296,True,12621.746058381055,0.14522495550596776,12621.746058381055,synthetic_gamma_dose_rate,uSv/h,uSv,0.0313712585471009,0.23137125854710092,395.96005891332373,2920.309270589535,uSv/h*m,1262.1746058381054,1262.1746058381054,0.010998890525370104,0.08111970196082043
15,522880.77637430094,5697283.50039724,True,12824.317230904177,0.14755572570055012,12824.317230904177,synthetic_gamma_dose_rate,uSv/h,uSv,0.03630875586873368,0.23630875586873368,465.6350035200945,3030.4984497009295,uSv/h*m,1282.4317230904176,1282.4317230904176,0.012934305653335958,0.08418051249169249
16,522780.80445333244,5697234.20960728,True,12497.226266221842,0.1437922392088492,12497.226266221842,synthetic_gamma_dose_rate,uSv/h,uSv,0.03407995755460463,0.23407995755460465,425.9049407031304,2925.350193947499,uSv/h*m,1249.7226266221842,1249.7226266221842,0.011830692797309179,0.08125972760965275
17,522636.350175414,5696884.154668293,True,1135.0552066937487,0.01305986835153138,1135.0552066937487,synthetic_gamma_dose_rate,uSv/h,uSv,0.0406495350065868,0.2406495350065868,46.139466358906155,273.1505076976559,uSv/h*m,113.50552066937487,113.50552066937487,0.0012816518433029487,0.007587514102712663
18,523056.24888303294,5696811.009685948,True,8321.523773841032,0.09574688907605274,8321.523773841032,synthetic_gamma_dose_rate,uSv/h,uSv,0.18034884551580166,0.38034884551580167,1500.777205544527,3165.081960312734,uSv/h*m,832.1523773841033,832.1523773841033,0.041688255709570195,0.08791894334202038
