mission_step,controller_call_index,mode,candidate_row,candidate_col,candidate_x_m,candidate_y_m,sar_score,sar_reference_score,sar_relevant,sar_cell_radiation_max_excess,radiation_quantity,radiation_unit,radiation_equivalent_priority,max_weight_sum,supported_radiation_cells,total_overlapping_radiation_cells,support_fraction,eligible,chosen,selection_reason,planner_decision_reason
141,141,RADIATION,8,24,522860.9204974669,5696544.290406497,0.0,0.0005371086274252358,False,0.09755383948939228,ground_equivalent_excess_gamma_dose_rate,uSv/h,5.239700882820925e-06,1.3377291183317959,441,441,1.0,False,False,lower_radiation_equivalent_priority,radiation_priority
141,141,RADIATION,8,25,522880.9204974669,5696544.290406497,0.0006888586011747709,0.0005371086274252358,True,0.10080511339596147,ground_equivalent_excess_gamma_dose_rate,uSv/h,5.414329609355012e-06,1.303419415787699,441,441,1.0,True,False,lower_radiation_equivalent_priority,radiation_priority
141,141,RADIATION,8,26,522900.9204974669,5696544.290406497,0.0010352848988360815,0.0005371086274252358,True,0.10206884676417971,ground_equivalent_excess_gamma_dose_rate,uSv/h,5.482205818838529e-06,0.7725653740103371,441,441,1.0,True,False,lower_radiation_equivalent_priority,radiation_priority
141,141,RADIATION,9,24,522860.9204974669,5696564.290406497,0.0006445588714756966,0.0005371086274252358,True,0.10080511339596149,ground_equivalent_excess_gamma_dose_rate,uSv/h,5.414329609355012e-06,1.3006169331558375,441,441,1.0,True,False,lower_radiation_equivalent_priority,radiation_priority
141,141,RADIATION,9,26,522900.9204974669,5696564.290406497,0.0013157279907054337,0.0005371086274252358,True,0.10206884676417971,ground_equivalent_excess_gamma_dose_rate,uSv/h,5.482205818838529e-06,0.8782152115852799,441,441,1.0,True,False,lower_radiation_equivalent_priority,radiation_priority
141,141,RADIATION,10,24,522860.9204974669,5696584.290406497,0.0009700110800902519,0.0005371086274252358,True,0.10206884676417971,ground_equivalent_excess_gamma_dose_rate,uSv/h,5.482205818838529e-06,0.7304848892910083,441,441,1.0,True,False,lower_radiation_equivalent_priority,radiation_priority
141,141,RADIATION,10,25,522880.9204974669,5696584.290406497,0.0012947543261682302,0.0005371086274252358,True,0.10206884676417971,ground_equivalent_excess_gamma_dose_rate,uSv/h,5.482205818838529e-06,0.8507922999027678,441,441,1.0,True,False,lower_radiation_equivalent_priority,radiation_priority
141,141,RADIATION,10,26,522900.9204974669,5696584.290406497,0.0015944135941459033,0.0005371086274252358,True,0.10206884676417971,ground_equivalent_excess_gamma_dose_rate,uSv/h,5.482205818838529e-06,0.6657300953090272,441,441,1.0,True,True,highest_radiation_equivalent_priority,radiation_priority
142,142,RADIATION,9,25,522880.9204974669,5696564.290406497,0.0,0.0005371086274252358,False,0.10660257029029317,ground_equivalent_excess_gamma_dose_rate,uSv/h,5.725716020862159e-06,1.3377291183317959,441,441,1.0,False,False,lower_radiation_equivalent_priority,radiation_priority
142,142,RADIATION,9,26,522900.9204974669,5696564.290406497,0.0006932828068168357,0.0005371086274252358,True,0.11020970276487901,ground_equivalent_excess_gamma_dose_rate,uSv/h,5.919458218098738e-06,1.303419415787699,441,441,1.0,True,False,lower_radiation_equivalent_priority,radiation_priority
142,142,RADIATION,9,27,522920.9204974669,5696564.290406497,0.0010413365162297412,0.0005371086274252358,True,0.11161165339700935,ground_equivalent_excess_gamma_dose_rate,uSv/h,5.994758196072885e-06,0.7725653740103371,441,441,1.0,True,False,lower_radiation_equivalent_priority,radiation_priority
142,142,RADIATION,10,25,522880.9204974669,5696584.290406497,0.000672309142279632,0.0005371086274252358,True,0.11020970276487903,ground_equivalent_excess_gamma_dose_rate,uSv/h,5.919458218098739e-06,1.3006169331558375,441,441,1.0,True,False,lower_radiation_equivalent_priority,radiation_priority
142,142,RADIATION,10,27,522920.9204974669,5696584.290406497,0.0013198083710412366,0.0005371086274252358,True,0.11161165339700935,ground_equivalent_excess_gamma_dose_rate,uSv/h,5.994758196072885e-06,0.8782152115852799,441,441,1.0,True,True,highest_radiation_equivalent_priority,radiation_priority
142,142,RADIATION,11,25,522880.9204974669,5696604.290406497,0.0010225067173136094,0.0005371086274252358,True,0.11161165339700935,ground_equivalent_excess_gamma_dose_rate,uSv/h,5.994758196072885e-06,0.7304848892910083,441,441,1.0,True,False,lower_radiation_equivalent_priority,radiation_priority
142,142,RADIATION,11,26,522900.9204974669,5696604.290406497,0.0010477125403914535,0.0005371086274252358,True,0.11161165339700935,ground_equivalent_excess_gamma_dose_rate,uSv/h,5.994758196072885e-06,0.8507922999027678,441,441,1.0,True,False,lower_radiation_equivalent_priority,radiation_priority
142,142,RADIATION,11,27,522920.9204974669,5696604.290406497,0.0010478297661842626,0.0005371086274252358,True,0.11161165339700935,ground_equivalent_excess_gamma_dose_rate,uSv/h,5.994758196072885e-06,0.6657300953090272,441,441,1.0,True,False,lower_radiation_equivalent_priority,radiation_priority
