controller_call_index,executed_step_index,mode_before,mode_after,moved,x_m,y_m,event_type,episode_index,entry_multiplier_initial,entry_threshold_current,exit_threshold_current,base_hazard_reference,trigger_measurement,radiation_quantity,radiation_unit,transition_reason,normal_route_interrupted,normal_route_replanned,mission_complete,completion_reason
0,0,NORMAL,NORMAL,True,522960.9204974669,5696984.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0817319123745831,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
1,1,NORMAL,NORMAL,True,522940.9204974669,5696964.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0810583379729557,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
2,2,NORMAL,NORMAL,True,522920.9204974669,5696944.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.07998422980874809,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
3,3,NORMAL,NORMAL,True,522900.9204974669,5696924.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.07854142064182429,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
4,4,NORMAL,NORMAL,True,522880.9204974669,5696904.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.07677068022648659,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
5,5,NORMAL,NORMAL,True,522860.9204974669,5696884.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.07471899886671757,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
6,6,NORMAL,NORMAL,True,522840.9204974669,5696864.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.07243674733333022,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
7,7,NORMAL,NORMAL,True,522820.9204974669,5696844.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.06997499802758961,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
8,8,NORMAL,NORMAL,True,522800.9204974669,5696824.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.06738322279148318,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
9,9,NORMAL,NORMAL,True,522820.9204974669,5696804.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0734052957148022,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
10,10,NORMAL,NORMAL,True,522840.9204974669,5696784.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.08019566913445852,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
11,11,NORMAL,NORMAL,True,522820.9204974669,5696764.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.07643406302819877,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
12,12,NORMAL,NORMAL,True,522840.9204974669,5696744.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.08337725882544872,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
13,13,NORMAL,NORMAL,True,522860.9204974669,5696724.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.09117279549972718,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
14,14,NORMAL,NORMAL,True,522840.9204974669,5696704.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.08586746225507308,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
15,15,NORMAL,NORMAL,True,522820.9204974669,5696684.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.08072637186230741,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
16,16,NORMAL,NORMAL,True,522800.9204974669,5696664.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.07579664307538259,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
17,17,NORMAL,NORMAL,True,522820.9204974669,5696644.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.08175476870889503,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
18,18,NORMAL,NORMAL,True,522820.9204974669,5696624.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0819551833276439,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
19,19,NORMAL,NORMAL,True,522820.9204974669,5696604.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.08194115877916802,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
20,20,NORMAL,NORMAL,True,522800.9204974669,5696584.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.07611769343711744,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
21,21,NORMAL,NORMAL,True,522800.9204974669,5696564.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.07573670031801966,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
22,22,NORMAL,NORMAL,True,522780.9204974669,5696544.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.07025773069281022,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
23,23,NORMAL,NORMAL,True,522760.9204974669,5696544.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.06580293062286352,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
24,24,NORMAL,NORMAL,True,522740.9204974669,5696544.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.06175708559106147,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
25,25,NORMAL,NORMAL,True,522720.9204974669,5696544.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.05807181920492599,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
26,26,NORMAL,NORMAL,True,522700.9204974669,5696544.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0547056762005903,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
27,27,NORMAL,NORMAL,True,522680.9204974669,5696544.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.05162297153623158,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
28,28,NORMAL,NORMAL,True,522660.9204974669,5696544.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.04879285596420735,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
29,29,NORMAL,NORMAL,True,522640.9204974669,5696544.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.04618855292317897,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
30,30,NORMAL,NORMAL,True,522620.9204974669,5696564.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.043975605782102245,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
31,31,NORMAL,NORMAL,True,522600.9204974669,5696564.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.041737163436668945,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
32,32,NORMAL,NORMAL,True,522580.9204974669,5696584.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.03976940668195711,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
33,33,NORMAL,NORMAL,True,522600.9204974669,5696604.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.04191240313982589,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
34,34,NORMAL,NORMAL,True,522620.9204974669,5696624.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.044174265050524464,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
35,35,NORMAL,NORMAL,True,522620.9204974669,5696644.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.04411597357118857,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
36,36,NORMAL,NORMAL,True,522640.9204974669,5696664.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.04642125607387576,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
37,37,NORMAL,NORMAL,True,522640.9204974669,5696684.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.04621976124777674,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
38,38,NORMAL,NORMAL,True,522640.9204974669,5696704.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.04595233680658828,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
39,39,NORMAL,NORMAL,True,522660.9204974669,5696724.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.04816025851754696,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
40,40,NORMAL,NORMAL,True,522660.9204974669,5696744.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.04772376774986575,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
41,41,NORMAL,NORMAL,True,522660.9204974669,5696764.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.047223647672642866,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
42,42,NORMAL,NORMAL,True,522660.9204974669,5696784.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.046664115404868756,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
43,43,NORMAL,NORMAL,True,522660.9204974669,5696804.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.046049728554197256,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
44,44,NORMAL,NORMAL,True,522660.9204974669,5696824.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.04538529940675207,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
45,45,NORMAL,NORMAL,True,522640.9204974669,5696844.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.042482579568478146,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
46,46,NORMAL,NORMAL,True,522640.9204974669,5696864.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.04180432156517988,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
47,47,NORMAL,NORMAL,True,522620.9204974669,5696884.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.03918116706424207,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
48,48,NORMAL,NORMAL,True,522600.9204974669,5696884.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.03739429338709027,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
49,49,NORMAL,NORMAL,True,522580.9204974669,5696884.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.03572241165278758,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
50,50,NORMAL,NORMAL,True,522560.9204974669,5696884.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.034156256463309054,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
51,51,NORMAL,NORMAL,True,522540.9204974669,5696864.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.03313575156342724,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
52,52,NORMAL,NORMAL,True,522520.9204974669,5696864.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.031719381092103954,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
53,53,NORMAL,NORMAL,True,522500.9204974669,5696844.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.030746396012647587,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
54,54,NORMAL,NORMAL,True,522500.9204974669,5696824.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.031080779232272288,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
55,55,NORMAL,NORMAL,True,522500.9204974669,5696804.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.03139095136283038,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
56,56,NORMAL,NORMAL,True,522500.9204974669,5696784.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.03167523781419718,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
57,57,NORMAL,NORMAL,True,522480.9204974669,5696764.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.030554808339002593,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
58,58,NORMAL,NORMAL,True,522500.9204974669,5696744.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.03215994654778381,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
59,59,NORMAL,NORMAL,True,522520.9204974669,5696724.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.03386950450424883,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
60,60,NORMAL,NORMAL,True,522520.9204974669,5696704.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.03405162581758267,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
61,61,NORMAL,NORMAL,True,522540.9204974669,5696684.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.03585041566415792,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
62,62,NORMAL,NORMAL,True,522540.9204974669,5696664.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.03597152352728461,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
63,63,NORMAL,NORMAL,True,522560.9204974669,5696644.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0378468564109751,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
64,64,NORMAL,NORMAL,True,522560.9204974669,5696624.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.03788974990531943,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
65,65,NORMAL,NORMAL,True,522540.9204974669,5696604.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.03608801199211922,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
66,66,NORMAL,NORMAL,True,522520.9204974669,5696624.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.03441685990196239,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
67,67,NORMAL,NORMAL,True,522500.9204974669,5696644.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.032824530177069766,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
68,68,NORMAL,NORMAL,True,522480.9204974669,5696664.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.03131015954462257,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
69,69,NORMAL,NORMAL,True,522480.9204974669,5696684.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.03121836544748488,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
70,70,NORMAL,NORMAL,True,522460.9204974669,5696704.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.02976020361714299,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
71,71,NORMAL,NORMAL,True,522460.9204974669,5696724.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.029621000264164865,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
72,72,NORMAL,NORMAL,True,522440.9204974669,5696744.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.028228392088282817,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
73,73,NORMAL,NORMAL,True,522420.9204974669,5696764.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.026914408193256356,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
74,74,NORMAL,NORMAL,True,522440.9204974669,5696784.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.027854261316971662,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
75,75,NORMAL,NORMAL,True,522440.9204974669,5696804.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.027634186610222183,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
76,76,NORMAL,NORMAL,True,522440.9204974669,5696824.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.027393528194065292,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
77,77,NORMAL,NORMAL,True,522440.9204974669,5696844.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.027133445605687395,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
78,78,NORMAL,NORMAL,True,522460.9204974669,5696864.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.027963256847115953,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
79,79,NORMAL,NORMAL,True,522480.9204974669,5696884.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.028792271241771028,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
80,80,NORMAL,NORMAL,True,522480.9204974669,5696904.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.02842729860738427,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
81,81,NORMAL,NORMAL,True,522480.9204974669,5696924.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0280462693896274,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
82,82,NORMAL,NORMAL,True,522480.9204974669,5696944.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.02765083156943554,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
83,83,NORMAL,NORMAL,True,522480.9204974669,5696964.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.027242619795858375,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
84,84,NORMAL,NORMAL,True,522500.9204974669,5696984.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.027878824238272787,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
85,85,NORMAL,NORMAL,True,522520.9204974669,5696984.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.028993965058584786,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
86,86,NORMAL,NORMAL,True,522540.9204974669,5696984.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.03017287219914394,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
87,87,NORMAL,NORMAL,True,522560.9204974669,5696984.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.031420089508532006,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
88,88,NORMAL,NORMAL,True,522580.9204974669,5696984.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.032740523812590905,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
89,89,NORMAL,NORMAL,True,522600.9204974669,5696964.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.03482173649830961,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
