step_index,x_m,y_m,platform_altitude_m,value_reference_height_m,value,quantity,unit,sampling_contract
0,522960.9204974669,5696984.290406497,50.0,1.0,0.0817319123745831,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
1,522940.9204974669,5696964.290406497,50.0,1.0,0.0810583379729557,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
2,522920.9204974669,5696944.290406497,50.0,1.0,0.07998422980874809,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
3,522900.9204974669,5696924.290406497,50.0,1.0,0.07854142064182429,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
4,522880.9204974669,5696904.290406497,50.0,1.0,0.07677068022648659,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
5,522860.9204974669,5696884.290406497,50.0,1.0,0.07471899886671757,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
6,522840.9204974669,5696864.290406497,50.0,1.0,0.07243674733333022,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
7,522820.9204974669,5696844.290406497,50.0,1.0,0.06997499802758961,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
8,522800.9204974669,5696824.290406497,50.0,1.0,0.06738322279148318,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
9,522820.9204974669,5696804.290406497,50.0,1.0,0.0734052957148022,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
10,522840.9204974669,5696784.290406497,50.0,1.0,0.08019566913445852,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
11,522820.9204974669,5696764.290406497,50.0,1.0,0.07643406302819877,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
