metric,unit,original,radiation_aware,absolute_delta_radiation_aware_minus_original,relative_change_percent
sar_likelihood_score,probability,0.9357528759397921,0.8409564205800915,-0.0947964553597006,-10.130501096723316
sar_time_discounted_score,score,0.13976034472876997,0.11788678408284624,-0.02187356064592373,-15.65076323214092
survivors_found,count,92.0,83.0,-9.0,-9.782608695652174
covered_area,km^2,1.0613814965225454,0.954192456941578,-0.10718903958096748,-10.099011517739475
route_distance,m,87209.92201030577,86787.42417664865,-422.4978336571221,-0.4844607401520147
uav_excess_exposure_distance_integral,uSv/h*m,73584.54354404069,96266.09442385825,22681.550879817558,30.823797753454222
uav_total_exposure_distance_integral,uSv/h*m,91026.5279461033,113623.57925918676,22597.05131308346,24.82468772890376
uav_cumulative_excess_dose,uSv,2.0440150984455747,2.674058178440507,0.6300430799949321,30.823797753454222
uav_cumulative_total_dose,uSv,2.5285146651695363,3.15621053497741,0.6276958698078738,24.824687728903758
survivor_total_pre_discovery_dose,uSv,51.49483518649913,59.96647379998598,8.471638613486846,16.45143359097095
survivor_mean_pre_discovery_dose,uSv,0.5149483518649913,0.5996647379998598,0.08471638613486843,16.451433590970943
survivor_median_pre_discovery_dose,uSv,0.17814406391106652,0.38214577229943014,0.20400170838836362,114.51501886147933
survivor_p95_pre_discovery_dose,uSv,2.306159346707096,1.78794910585648,-0.518210240850616,-22.47070401230317
survivor_max_pre_discovery_dose,uSv,3.967625555844726,2.8974938479286796,-1.0701317079160466,-26.971590258552272
heading_changes,count,2888.0,2866.0,-22.0,-0.7617728531855956
total_absolute_heading_change,deg,265725.00000001315,266535.00000001834,810.0000000051805,0.3048264182915196
