survivor_id,x_m,y_m,original_found,radiation_aware_found,original_discovery_distance_m,radiation_aware_discovery_distance_m,discovery_distance_delta_aware_minus_original_m,original_pre_discovery_total_dose,radiation_aware_pre_discovery_total_dose,dose_unit,dose_delta_original_minus_radiation_aware,dose_reduction_ratio,dose_reduction_percent
0,522531.1632305748,5697307.707819163,True,True,12312.334344135972,14492.336610260363,2180.002266124391,0.21500997454723986,0.2530792974433948,uSv,-0.038069322896154945,-0.1770584038081021,-17.70584038081021
1,522989.911939769,5696998.082866692,True,True,25324.205276916357,22069.193431388005,-3255.011845528352,3.120038745266763,2.7190088624610045,uSv,0.4010298828057586,0.12853362267187823,12.853362267187824
2,523210.69191053987,5697322.3069615625,True,True,13445.235532310564,61652.5588966508,48207.323364340235,0.16631730514317244,0.762640968708233,uSv,-0.5963236635650605,-3.585457707192416,-358.5457707192416
3,522860.35092734295,5697117.848375036,True,True,8251.504696403099,3902.4527040424186,-4349.051992360681,0.2170344115975235,0.10264388830539123,uSv,0.11439052329213228,0.5270616878224004,52.70616878224004
4,523223.46626941144,5697050.489098367,True,True,5741.782251314327,5223.705591977169,-518.0766593371582,0.16330815589628503,0.1485729848037393,uSv,0.01473517109254574,0.09022924183837985,9.022924183837985
5,522807.8093875928,5697320.909680355,True,True,7240.171723545992,15690.350027222838,8450.178303676847,0.11147018813015457,0.24156972184437375,uSv,-0.13009953371421917,-1.1671240167129946,-116.71240167129946
6,523399.8629951768,5697371.867266273,True,False,16300.061319357965,,,0.1549100829399226,0.8247973313683481,uSv,-0.6698872484284255,-4.324361821484674,-432.4361821484673
7,523020.34247733833,5697202.789569433,True,True,42671.66365145685,13928.634625767376,-28743.029025689477,0.9198815364886278,0.30026234564918725,uSv,0.6196191908394406,0.6735858545488925,67.35858545488925
8,523035.1448593758,5697561.387719356,True,False,14814.091703477947,,,0.14145704430028397,0.8287171938851634,uSv,-0.6872601495848795,-4.858437082327047,-485.8437082327047
9,522489.86439560197,5696928.86040992,True,True,1970.3980326828687,7141.090033101503,5170.692000418634,0.10711341496548576,0.3881989970219412,uSv,-0.28108558205645545,-2.6241865423395123,-262.4186542339512
10,522912.7054397887,5697426.781736954,True,True,13065.786297656765,60826.319846960134,47760.53354930337,0.1562232816393528,0.7272801712853054,uSv,-0.5710568896459526,-3.655389156171091,-365.5389156171091
11,523081.1618049589,5697404.802731642,True,True,13275.857777317175,61490.61195764119,48214.75418032402,0.15509262445958422,0.7183521056116402,uSv,-0.5632594811520559,-3.6317618785207704,-363.176187852077
12,523489.02482682996,5696713.114939984,True,False,72822.93706232727,,,0.7456893199236345,0.8886823015229389,uSv,-0.1429929815993044,-0.19175946037948916,-19.175946037948915
13,522826.7882629474,5696489.184836336,True,True,3282.341782352968,12443.975989248383,9161.634206895415,0.11317582630491488,0.42907087637050284,uSv,-0.31589505006558793,-2.791188369276961,-279.1188369276961
14,522800.679252997,5697300.557610296,True,True,7258.024849236263,15623.242500676888,8365.217651440624,0.11801263902510384,0.254027799013123,uSv,-0.13601515998801916,-1.1525473975637965,-115.25473975637966
15,522880.77637430094,5697283.50039724,True,True,20582.501140024502,15535.268130906681,-5047.233009117821,0.33717655742775293,0.2544942517656511,uSv,0.08268230566210183,0.24521961518578653,24.521961518578657
16,522780.80445333244,5697234.20960728,True,True,44930.555114993964,14195.388715303097,-30735.16639969087,0.8936325492408507,0.2823348470245762,uSv,0.6112977022162744,0.6840593516155803,68.40593516155803
17,522636.350175414,5696884.154668293,True,True,1135.0552066937487,658.7024648443524,-476.35274184939624,0.05098404031439233,0.02958738290857005,uSv,0.02139665740582228,0.41967363264817986,41.96736326481799
18,523056.24888303294,5696811.009685948,True,True,5291.916900959539,4837.569169698698,-454.3477312608411,0.2308269749892655,0.21100887989008515,uSv,0.01981809509918034,0.08585692855049533,8.585692855049532
19,523029.82824195357,5697208.030157689,True,True,42682.39141836607,13919.434852850065,-28762.956565516004,0.8977961768266943,0.2927862047837296,uSv,0.6050099720429647,0.6738834355269844,67.38834355269843
