survivor_id,x_m,y_m,found,first_discovery_distance_m,first_discovery_fraction_of_mission,exposure_end_distance_m,radiation_quantity,radiation_rate_unit,radiation_dose_unit,ground_truth_excess_rate,ground_truth_total_rate,excess_exposure_distance_integral,total_exposure_distance_integral,distance_integral_unit,first_discovery_time_s,exposure_end_time_s,pre_discovery_excess_dose,pre_discovery_total_dose
0,522531.1632305748,5697307.707819163,True,12312.334344135972,0.1411804306244076,12312.334344135972,synthetic_gamma_dose_rate,uSv/h,uSv,0.4286670640476195,0.6286670640476195,5277.89221487344,7740.359083700635,uSv/h*m,1231.2334344135973,1231.2334344135973,0.14660811707981777,0.21500997454723986
1,522989.911939769,5696998.082866692,True,25324.205276916357,0.29038215713486987,25324.205276916357,synthetic_gamma_dose_rate,uSv/h,uSv,4.235337401564471,4.435337401564471,107256.55377422019,112321.39482960347,uSv/h*m,2532.4205276916355,2532.4205276916355,2.9793487159505605,3.120038745266763
2,523210.69191053987,5697322.3069615625,True,13445.235532310564,0.1541709386085876,13445.235532310564,synthetic_gamma_dose_rate,uSv/h,uSv,0.24531930814939534,0.44531930814939535,3298.375878692095,5987.422985154208,uSv/h*m,1344.5235532310564,1344.5235532310564,0.09162155218589152,0.16631730514317244
3,522860.35092734295,5697117.848375036,True,8251.504696403099,0.09461658153332601,8251.504696403099,synthetic_gamma_dose_rate,uSv/h,uSv,0.746886550390828,0.9468865503908279,6162.9378782302265,7813.238817510846,uSv/h*m,825.1504696403099,825.1504696403099,0.1711927188397285,0.2170344115975235
4,523223.46626941144,5697050.489098367,True,5741.782251314327,0.06583863531761683,5741.782251314327,synthetic_gamma_dose_rate,uSv/h,uSv,0.8239144145392318,1.0239144145392318,4730.737162003396,5879.0936122662615,uSv/h*m,574.1782251314328,574.1782251314328,0.13140936561120545,0.16330815589628503
5,522807.8093875928,5697320.909680355,True,7240.171723545992,0.0830200458462789,7240.171723545992,synthetic_gamma_dose_rate,uSv/h,uSv,0.3542585073824973,0.5542585073824973,2564.892427976366,4012.926772685564,uSv/h*m,724.0171723545992,724.0171723545992,0.07124701188823239,0.11147018813015457
6,523399.8629951768,5697371.867266273,True,16300.061319357965,0.18690604169364758,16300.061319357965,synthetic_gamma_dose_rate,uSv/h,uSv,0.14213141144532046,0.34213141144532044,2316.75072196562,5576.762985837213,uSv/h*m,1630.0061319357965,1630.0061319357965,0.06435418672126722,0.1549100829399226
7,523020.34247733833,5697202.789569433,True,42671.66365145685,0.4892982663877885,42671.66365145685,synthetic_gamma_dose_rate,uSv/h,uSv,0.5760591568231485,0.7760591568231485,24581.402583299227,33115.7353135906,uSv/h*m,4267.166365145686,4267.166365145686,0.6828167384249785,0.9198815364886278
8,523035.1448593758,5697561.387719356,True,14814.091703477947,0.16986704450586868,14814.091703477947,synthetic_gamma_dose_rate,uSv/h,uSv,0.14375739645344932,0.3437573964534493,2129.6352541146334,5092.453594810223,uSv/h*m,1481.4091703477948,1481.4091703477948,0.059156534836517595,0.14145704430028397
9,522489.86439560197,5696928.86040992,True,1970.3980326828687,0.022593736896703367,1970.3980326828687,synthetic_gamma_dose_rate,uSv/h,uSv,1.757007099477812,1.957007099477812,3462.003332220914,3856.0829387574877,uSv/h*m,197.03980326828687,197.03980326828687,0.09616675922835873,0.10711341496548576
10,522912.7054397887,5697426.781736954,True,13065.786297656765,0.1498199516347779,13065.786297656765,synthetic_gamma_dose_rate,uSv/h,uSv,0.23044008304539032,0.43044008304539033,3010.880879485348,5624.038139016701,uSv/h*m,1306.5786297656764,1306.5786297656764,0.08363557998570412,0.1562232816393528
11,523081.1618049589,5697404.802731642,True,13275.857777317175,0.15222875415194545,13275.857777317175,synthetic_gamma_dose_rate,uSv/h,uSv,0.22056299293026382,0.42056299293026383,2928.162925081596,5583.3344805450315,uSv/h*m,1327.5857777317174,1327.5857777317174,0.08133785903004433,0.15509262445958422
12,523489.02482682996,5696713.114939984,True,72822.93706232727,0.8350304114905829,72822.93706232727,synthetic_gamma_dose_rate,uSv/h,uSv,0.16863132139637624,0.3686313213963762,12280.228104785388,26844.81551725084,uSv/h*m,7282.293706232727,7282.293706232727,0.3411174473551497,0.7456893199236345
13,522826.7882629474,5696489.184836336,True,3282.341782352968,0.037637251664610905,3282.341782352968,synthetic_gamma_dose_rate,uSv/h,uSv,1.0412874761799564,1.2412874761799564,3417.861390506342,4074.3297469769354,uSv/h*m,328.2341782352968,328.2341782352968,0.09494059418073172,0.11317582630491488
14,522800.679252997,5697300.557610296,True,7258.024849236263,0.0832247602328846,7258.024849236263,synthetic_gamma_dose_rate,uSv/h,uSv,0.38534588860642816,0.5853458886064282,2796.8500350564846,4248.455004903738,uSv/h*m,725.8024849236264,725.8024849236264,0.07769027875156902,0.11801263902510384
15,522880.77637430094,5697283.50039724,True,20582.501140024502,0.23601100271127665,20582.501140024502,synthetic_gamma_dose_rate,uSv/h,uSv,0.38974154719199766,0.5897415471919977,8021.855839394205,12138.356067399105,uSv/h*m,2058.25011400245,2058.25011400245,0.22282932887206125,0.33717655742775293
16,522780.80445333244,5697234.20960728,True,44930.555114993964,0.5152000377856596,44930.555114993964,synthetic_gamma_dose_rate,uSv/h,uSv,0.5160110016520757,0.7160110016520758,23184.660749671828,32170.771772670625,uSv/h*m,4493.055511499397,4493.055511499397,0.6440183541575508,0.8936325492408507
17,522636.350175414,5696884.154668293,True,1135.0552066937487,0.013015207221027177,1135.0552066937487,synthetic_gamma_dose_rate,uSv/h,uSv,1.417036282018786,1.617036282018786,1608.4144099793743,1835.425451318124,uSv/h*m,113.50552066937487,113.50552066937487,0.04467817805498262,0.05098404031439233
18,523056.24888303294,5696811.009685948,True,5291.916900959539,0.06068021595448947,5291.916900959539,synthetic_gamma_dose_rate,uSv/h,uSv,1.3702761882195875,1.5702761882195875,7251.387719421649,8309.771099613557,uSv/h*m,529.1916900959538,529.1916900959538,0.20142743665060137,0.2308269749892655
19,523029.82824195357,5697208.030157689,True,42682.39141836607,0.4894212772409337,42682.39141836607,synthetic_gamma_dose_rate,uSv/h,uSv,0.5572364455627372,0.7572364455627372,23784.184082087784,32320.662365760996,uSv/h*m,4268.239141836607,4268.239141836607,0.660671780057994,0.8977961768266943
20,523485.219516135,5697257.951144057,True,6266.390453388688,0.07185409995720643,6266.390453388688,synthetic_gamma_dose_rate,uSv/h,uSv,0.14502914807102368,0.3450291480710237,908.8092689353573,2162.087359613095,uSv/h*m,626.6390453388688,626.6390453388688,0.025244701914871034,0.06005798221147486
21,523122.4877871183,5696783.395580345,True,5365.733253462851,0.06152663744876152,5365.733253462851,synthetic_gamma_dose_rate,uSv/h,uSv,0.9038607729438716,1.1038607729438716,4849.875805885567,5923.022456578138,uSv/h*m,536.5733253462852,536.5733253462852,0.1347187723857102,0.16452840157161494
22,523036.36603836226,5696400.433328753,True,30203.304964353298,0.3463287693432877,30203.304964353298,synthetic_gamma_dose_rate,uSv/h,uSv,0.2861446724502867,0.4861446724502867,8642.514805940993,14683.175798811651,uSv/h*m,3020.3304964353297,3020.3304964353297,0.24006985572058315,0.4078659944114348
23,522738.7754857994,5696827.706914632,True,2457.8334059229464,0.02818295612777293,2457.8334059229464,synthetic_gamma_dose_rate,uSv/h,uSv,1.0846250813593394,1.2846250813593394,2665.827757866878,3157.3944390514675,uSv/h*m,245.78334059229465,245.78334059229465,0.07405077105185773,0.08770540108476299
