survivor_id,x_m,y_m,found,first_discovery_distance_m,first_discovery_fraction_of_mission,exposure_end_distance_m,radiation_quantity,radiation_rate_unit,radiation_dose_unit,ground_truth_excess_rate,ground_truth_total_rate,excess_exposure_distance_integral,total_exposure_distance_integral,distance_integral_unit,first_discovery_time_s,exposure_end_time_s,pre_discovery_excess_dose,pre_discovery_total_dose
0,522531.1632305748,5697307.707819163,True,14492.336610260363,0.16698659682262726,14492.336610260363,synthetic_gamma_dose_rate,uSv/h,uSv,0.4286670640476195,0.6286670640476195,6212.38738591014,9110.854707962213,uSv/h*m,1449.2336610260363,1449.2336610260363,0.17256631627528168,0.2530792974433948
1,522989.911939769,5696998.082866692,True,22069.193431388005,0.2542902228146324,22069.193431388005,synthetic_gamma_dose_rate,uSv/h,uSv,4.235337401564471,4.435337401564471,93470.48036231856,97884.31904859617,uSv/h*m,2206.9193431388003,2206.9193431388003,2.5964022322866267,2.7190088624610045
2,523210.69191053987,5697322.3069615625,True,61652.5588966508,0.7103858592595408,61652.5588966508,synthetic_gamma_dose_rate,uSv/h,uSv,0.24531930814939534,0.44531930814939535,15124.563094166224,27455.074873496385,uSv/h*m,6165.25588966508,6165.25588966508,0.42012675261572846,0.762640968708233
3,522860.35092734295,5697117.848375036,True,3902.4527040424186,0.04496564728202208,3902.4527040424186,synthetic_gamma_dose_rate,uSv/h,uSv,0.746886550390828,0.9468865503908279,2914.689438185601,3695.179978994084,uSv/h*m,390.24527040424186,390.24527040424186,0.08096359550515558,0.10264388830539123
4,523223.46626941144,5697050.489098367,True,5223.705591977169,0.060189660443715286,5223.705591977169,synthetic_gamma_dose_rate,uSv/h,uSv,0.8239144145392318,1.0239144145392318,4303.88633453918,5348.627452934615,uSv/h*m,522.370559197717,522.370559197717,0.1195523981816439,0.1485729848037393
5,522807.8093875928,5697320.909680355,True,15690.350027222838,0.18079059467517347,15690.350027222838,synthetic_gamma_dose_rate,uSv/h,uSv,0.3542585073824973,0.5542585073824973,5558.439980952889,8696.509986397456,uSv/h*m,1569.0350027222837,1569.0350027222837,0.1544011105820247,0.24156972184437375
6,523399.8629951768,5697371.867266273,False,,,86787.42417664865,synthetic_gamma_dose_rate,uSv/h,uSv,0.14213141144532046,0.34213141144532044,12335.219093930802,29692.70392926053,uSv/h*m,,8678.742417664866,0.34264497483141115,0.8247973313683481
7,523020.34247733833,5697202.789569433,True,13928.634625767376,0.1604913932854694,13928.634625767376,synthetic_gamma_dose_rate,uSv/h,uSv,0.5760591568231485,0.7760591568231485,8023.717518217264,10809.444443370741,uSv/h*m,1392.8634625767377,1392.8634625767377,0.22288104217270177,0.30026234564918725
8,523035.1448593758,5697561.387719356,False,,,86787.42417664865,synthetic_gamma_dose_rate,uSv/h,uSv,0.14375739645344932,0.3437573964534493,12476.334144536153,29833.818979865882,uSv/h*m,,8678.742417664866,0.34656483734822646,0.8287171938851634
9,522489.86439560197,5696928.86040992,True,7141.090033101503,0.08228254382301291,7141.090033101503,synthetic_gamma_dose_rate,uSv/h,uSv,1.757007099477812,1.957007099477812,12546.945886169584,13975.163892789884,uSv/h*m,714.1090033101502,714.1090033101502,0.34852627461582175,0.3881989970219412
10,522912.7054397887,5697426.781736954,True,60826.319846960134,0.7008655968767222,60826.319846960134,synthetic_gamma_dose_rate,uSv/h,uSv,0.23044008304539032,0.43044008304539033,14016.822196878968,26182.086166270994,uSv/h*m,6082.631984696013,6082.631984696013,0.38935617213552687,0.7272801712853054
11,523081.1618049589,5697404.802731642,True,61490.61195764119,0.7085198407603631,61490.61195764119,synthetic_gamma_dose_rate,uSv/h,uSv,0.22056299293026382,0.42056299293026383,13562.55341049081,25860.675802019046,uSv/h*m,6149.061195764119,6149.061195764119,0.37673759473585583,0.7183521056116402
12,523489.02482682996,5696713.114939984,False,,,86787.42417664865,synthetic_gamma_dose_rate,uSv/h,uSv,0.16863132139637624,0.3686313213963762,14635.078019496072,31992.562854825803,uSv/h*m,,8678.742417664866,0.406529944986002,0.8886823015229389
13,522826.7882629474,5696489.184836336,True,12443.975989248383,0.1433845526273449,12443.975989248383,synthetic_gamma_dose_rate,uSv/h,uSv,1.0412874761799564,1.2412874761799564,12957.756351488426,15446.551549338103,uSv/h*m,1244.3975989248383,1244.3975989248383,0.35993767643023405,0.42907087637050284
14,522800.679252997,5697300.557610296,True,15623.242500676888,0.18001735445998565,15623.242500676888,synthetic_gamma_dose_rate,uSv/h,uSv,0.38534588860642816,0.5853458886064282,6020.35226433705,9145.000764472428,uSv/h*m,1562.3242500676888,1562.3242500676888,0.16723200734269583,0.254027799013123
15,522880.77637430094,5697283.50039724,True,15535.268130906681,0.17900367799009592,15535.268130906681,synthetic_gamma_dose_rate,uSv/h,uSv,0.38974154719199766,0.5897415471919977,6054.7394373821035,9161.79306356344,uSv/h*m,1553.5268130906682,1553.5268130906682,0.1681872065939473,0.2544942517656511
16,522780.80445333244,5697234.20960728,True,14195.388715303097,0.16356504240072334,14195.388715303097,synthetic_gamma_dose_rate,uSv/h,uSv,0.5160110016520757,0.7160110016520758,7324.9767498241235,10164.054492884743,uSv/h*m,1419.5388715303097,1419.5388715303097,0.20347157638400343,0.2823348470245762
