mission_step,controller_call_index,mode,candidate_row,candidate_col,candidate_x_m,candidate_y_m,sar_score,sar_reference_score,sar_relevant,sar_cell_radiation_max_excess,radiation_quantity,radiation_unit,radiation_equivalent_priority,max_weight_sum,supported_radiation_cells,total_overlapping_radiation_cells,support_fraction,eligible,chosen,selection_reason,planner_decision_reason
1,1,RADIATION,29,28,522940.9204974669,5696964.290406497,0.00027096592167029886,0.0005371086274252358,False,2.7173536584676605,ground_equivalent_excess_gamma_dose_rate,uSv/h,0.00014595140937285082,0.6348868378468103,441,441,1.0,False,True,original_greedy_fallback,no_candidate_meets_sar_reference_original_greedy_step
1,1,RADIATION,29,29,522960.9204974669,5696964.290406497,0.00014904225445581823,0.0005371086274252358,False,2.7173536584676605,ground_equivalent_excess_gamma_dose_rate,uSv/h,0.00014595140937285082,0.8078349545023442,441,441,1.0,False,False,not_selected_by_original_greedy_fallback,no_candidate_meets_sar_reference_original_greedy_step
1,1,RADIATION,29,30,522980.9204974669,5696964.290406497,0.00010171993287958258,0.0005371086274252358,False,2.7173536584676605,ground_equivalent_excess_gamma_dose_rate,uSv/h,0.00014595140937285082,0.6590664259409434,441,441,1.0,False,False,not_selected_by_original_greedy_fallback,no_candidate_meets_sar_reference_original_greedy_step
1,1,RADIATION,30,28,522940.9204974669,5696984.290406497,0.00023612391700460284,0.0005371086274252358,False,2.7173536584676605,ground_equivalent_excess_gamma_dose_rate,uSv/h,0.00014595140937285082,0.7855261360870127,441,441,1.0,False,False,not_selected_by_original_greedy_fallback,no_candidate_meets_sar_reference_original_greedy_step
1,1,RADIATION,30,30,522980.9204974669,5696984.290406497,4.558407951958539e-05,0.0005371086274252358,False,2.7173536584676605,ground_equivalent_excess_gamma_dose_rate,uSv/h,0.00014595140937285082,0.8154428035551496,441,441,1.0,False,False,not_selected_by_original_greedy_fallback,no_candidate_meets_sar_reference_original_greedy_step
1,1,RADIATION,31,28,522940.9204974669,5697004.290406496,0.00027096592166715434,0.0005371086274252358,False,2.7173536584676605,ground_equivalent_excess_gamma_dose_rate,uSv/h,0.00014595140937285082,0.6231680597976799,441,441,1.0,False,False,not_selected_by_original_greedy_fallback,no_candidate_meets_sar_reference_original_greedy_step
1,1,RADIATION,31,29,522960.9204974669,5697004.290406496,0.00014904225445140962,0.0005371086274252358,False,2.7173536584676605,ground_equivalent_excess_gamma_dose_rate,uSv/h,0.00014595140937285082,0.7929238900924271,441,441,1.0,False,False,not_selected_by_original_greedy_fallback,no_candidate_meets_sar_reference_original_greedy_step
1,1,RADIATION,31,30,522980.9204974669,5697004.290406496,0.00010171993287460738,0.0005371086274252358,False,2.7173536584676605,ground_equivalent_excess_gamma_dose_rate,uSv/h,0.00014595140937285082,0.6469013396533944,441,441,1.0,False,False,not_selected_by_original_greedy_fallback,no_candidate_meets_sar_reference_original_greedy_step
2,2,RADIATION,28,27,522920.9204974669,5696944.290406497,0.0004493042227984538,0.0005371086274252358,False,2.1135975348374396,ground_equivalent_excess_gamma_dose_rate,uSv/h,0.00011352314708658993,0.6526858720985849,441,441,1.0,False,True,original_greedy_fallback,no_candidate_meets_sar_reference_original_greedy_step
2,2,RADIATION,28,28,522940.9204974669,5696944.290406497,0.0003252536789534354,0.0005371086274252358,False,2.184978606803155,ground_equivalent_excess_gamma_dose_rate,uSv/h,0.00011735708604535466,0.869152994062871,441,441,1.0,False,False,not_selected_by_original_greedy_fallback,no_candidate_meets_sar_reference_original_greedy_step
