controller_call_index,executed_step_index,mode_before,mode_after,moved,x_m,y_m,event_type,episode_index,entry_multiplier_initial,entry_threshold_current,exit_threshold_current,base_hazard_reference,trigger_measurement,radiation_quantity,radiation_unit,transition_reason,normal_route_interrupted,normal_route_replanned,mission_complete,completion_reason
0,0,NORMAL,RADIATION,True,522960.9204974669,5696984.290406497,ENTER,1,0.01,0.1,0.09000000000000001,10.0,2.7173536584676605,ground_equivalent_excess_gamma_dose_rate,uSv/h,hazard_enter_threshold,True,False,False,
1,1,RADIATION,RADIATION,True,522940.9204974669,5696964.290406497,,1,0.01,0.1,0.09000000000000001,10.0,2.0966712492640003,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
2,2,RADIATION,RADIATION,True,522920.9204974669,5696944.290406497,,1,0.01,0.1,0.09000000000000001,10.0,1.639754307954841,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
3,3,RADIATION,RADIATION,True,522900.9204974669,5696924.290406497,,1,0.01,0.1,0.09000000000000001,10.0,1.3395424580304636,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
4,4,RADIATION,RADIATION,True,522880.9204974669,5696944.290406497,,1,0.01,0.1,0.09000000000000001,10.0,1.1960918405798797,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
5,5,RADIATION,RADIATION,True,522880.9204974669,5696964.290406497,,1,0.01,0.1,0.09000000000000001,10.0,1.193008502762574,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
6,6,RADIATION,RADIATION,True,522860.9204974669,5696984.290406497,,1,0.01,0.1,0.09000000000000001,10.0,1.0659907672387436,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
7,7,RADIATION,RADIATION,True,522840.9204974669,5696964.290406497,,1,0.01,0.1,0.09000000000000001,10.0,1.0191170851357718,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
8,8,RADIATION,RADIATION,True,522840.9204974669,5696984.290406497,,1,0.01,0.1,0.09000000000000001,10.0,1.006070316425597,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
9,9,RADIATION,RADIATION,True,522820.9204974669,5696964.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.9906075663871006,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
10,10,RADIATION,RADIATION,True,522820.9204974669,5696984.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.9814811524945768,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
11,11,RADIATION,RADIATION,True,522820.9204974669,5697004.290406496,,1,0.01,0.1,0.09000000000000001,10.0,0.9648162950209875,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
12,12,RADIATION,RADIATION,True,522840.9204974669,5697024.290406496,,1,0.01,0.1,0.09000000000000001,10.0,0.9532530551833387,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
13,13,RADIATION,RADIATION,True,522820.9204974669,5697024.290406496,,1,0.01,0.1,0.09000000000000001,10.0,0.9404270598043172,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
14,14,RADIATION,RADIATION,True,522800.9204974669,5697004.290406496,,1,0.01,0.1,0.09000000000000001,10.0,0.9765808727180165,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
15,15,RADIATION,RADIATION,True,522800.9204974669,5696984.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.9880262123563233,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
16,16,RADIATION,RADIATION,True,522800.9204974669,5696964.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.9923142739913395,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
17,17,RADIATION,RADIATION,True,522780.9204974669,5696944.290406497,,1,0.01,0.1,0.09000000000000001,10.0,1.0150572603125694,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
18,18,RADIATION,RADIATION,True,522760.9204974669,5696924.290406497,,1,0.01,0.1,0.09000000000000001,10.0,1.0453281914133241,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
19,19,RADIATION,RADIATION,True,522740.9204974669,5696904.290406497,,1,0.01,0.1,0.09000000000000001,10.0,1.0771614626076351,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
20,20,RADIATION,RADIATION,True,522760.9204974669,5696884.290406497,,1,0.01,0.1,0.09000000000000001,10.0,1.0161493732426836,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
21,21,RADIATION,RADIATION,True,522740.9204974669,5696884.290406497,,1,0.01,0.1,0.09000000000000001,10.0,1.0546439150834483,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
22,22,RADIATION,RADIATION,True,522720.9204974669,5696904.290406497,,1,0.01,0.1,0.09000000000000001,10.0,1.1454220476609756,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
23,23,RADIATION,RADIATION,True,522700.9204974669,5696904.290406497,,1,0.01,0.1,0.09000000000000001,10.0,1.2334497260221156,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
24,24,RADIATION,RADIATION,True,522680.9204974669,5696884.290406497,,1,0.01,0.1,0.09000000000000001,10.0,1.2390457902464738,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
25,25,RADIATION,RADIATION,True,522660.9204974669,5696864.290406497,,1,0.01,0.1,0.09000000000000001,10.0,1.2196156248381713,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
26,26,RADIATION,RADIATION,True,522660.9204974669,5696884.290406497,,1,0.01,0.1,0.09000000000000001,10.0,1.318666155182371,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
27,27,RADIATION,RADIATION,True,522640.9204974669,5696904.290406497,,1,0.01,0.1,0.09000000000000001,10.0,1.6095875571911127,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
28,28,RADIATION,RADIATION,True,522620.9204974669,5696884.290406497,,1,0.01,0.1,0.09000000000000001,10.0,1.4744988396517131,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
29,29,RADIATION,RADIATION,True,522620.9204974669,5696904.290406497,,1,0.01,0.1,0.09000000000000001,10.0,1.7479653605909091,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
30,30,RADIATION,RADIATION,True,522600.9204974669,5696924.290406497,,1,0.01,0.1,0.09000000000000001,10.0,2.4009107890422516,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
31,31,RADIATION,RADIATION,True,522580.9204974669,5696904.290406497,,1,0.01,0.1,0.09000000000000001,10.0,1.9209589052423433,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
32,32,RADIATION,RADIATION,True,522580.9204974669,5696924.290406497,,1,0.01,0.1,0.09000000000000001,10.0,2.539588521652026,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
33,33,RADIATION,RADIATION,True,522560.9204974669,5696944.290406497,,1,0.01,0.1,0.09000000000000001,10.0,3.6651899540389565,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
34,34,RADIATION,RADIATION,True,522580.9204974669,5696964.290406497,,1,0.01,0.1,0.09000000000000001,10.0,5.913536365635947,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
35,35,RADIATION,RADIATION,True,522600.9204974669,5696984.290406497,,1,0.01,0.1,0.09000000000000001,10.0,8.393717337789925,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
