step_index,x_m,y_m,platform_altitude_m,value_reference_height_m,value,quantity,unit,sampling_contract
0,522960.9204974669,5696984.290406497,50.0,1.0,2.7173536584676605,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
1,522940.9204974669,5696964.290406497,50.0,1.0,2.0966712492640003,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
2,522920.9204974669,5696944.290406497,50.0,1.0,1.639754307954841,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
3,522900.9204974669,5696924.290406497,50.0,1.0,1.3395424580304636,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
4,522880.9204974669,5696944.290406497,50.0,1.0,1.1960918405798797,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
5,522880.9204974669,5696964.290406497,50.0,1.0,1.193008502762574,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
6,522860.9204974669,5696984.290406497,50.0,1.0,1.0659907672387436,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
7,522840.9204974669,5696964.290406497,50.0,1.0,1.0191170851357718,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
8,522840.9204974669,5696984.290406497,50.0,1.0,1.006070316425597,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
9,522820.9204974669,5696964.290406497,50.0,1.0,0.9906075663871006,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
10,522820.9204974669,5696984.290406497,50.0,1.0,0.9814811524945768,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
11,522820.9204974669,5697004.290406496,50.0,1.0,0.9648162950209875,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
12,522840.9204974669,5697024.290406496,50.0,1.0,0.9532530551833387,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
13,522820.9204974669,5697024.290406496,50.0,1.0,0.9404270598043172,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
14,522800.9204974669,5697004.290406496,50.0,1.0,0.9765808727180165,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
15,522800.9204974669,5696984.290406497,50.0,1.0,0.9880262123563233,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
16,522800.9204974669,5696964.290406497,50.0,1.0,0.9923142739913395,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
17,522780.9204974669,5696944.290406497,50.0,1.0,1.0150572603125694,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
18,522760.9204974669,5696924.290406497,50.0,1.0,1.0453281914133241,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
19,522740.9204974669,5696904.290406497,50.0,1.0,1.0771614626076351,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
20,522760.9204974669,5696884.290406497,50.0,1.0,1.0161493732426836,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
21,522740.9204974669,5696884.290406497,50.0,1.0,1.0546439150834483,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
22,522720.9204974669,5696904.290406497,50.0,1.0,1.1454220476609756,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
23,522700.9204974669,5696904.290406497,50.0,1.0,1.2334497260221156,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
24,522680.9204974669,5696884.290406497,50.0,1.0,1.2390457902464738,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
25,522660.9204974669,5696864.290406497,50.0,1.0,1.2196156248381713,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
26,522660.9204974669,5696884.290406497,50.0,1.0,1.318666155182371,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
27,522640.9204974669,5696904.290406497,50.0,1.0,1.6095875571911127,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
28,522620.9204974669,5696884.290406497,50.0,1.0,1.4744988396517131,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
29,522620.9204974669,5696904.290406497,50.0,1.0,1.7479653605909091,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
