survivor_id,x_m,y_m,original_found,radiation_aware_found,original_discovery_distance_m,radiation_aware_discovery_distance_m,discovery_distance_delta_aware_minus_original_m,original_pre_discovery_total_dose,radiation_aware_pre_discovery_total_dose,dose_unit,dose_delta_original_minus_radiation_aware,dose_reduction_ratio,dose_reduction_percent
0,522531.1632305748,5697307.707819163,True,True,12312.334344135972,80985.57200979284,68673.23766565687,0.0,0.0,uGy,0.0,,
1,522989.911939769,5696998.082866692,True,False,25324.205276916357,,,0.0024516479202840767,0.008478922707096137,uGy,-0.00602727478681206,-2.4584585482052694,-245.84585482052697
2,523210.69191053987,5697322.3069615625,True,True,13445.235532310564,6877.072337644703,-6568.163194665861,0.0,0.0,uGy,0.0,,
3,522860.35092734295,5697117.848375036,True,True,8251.504696403099,8319.78896765046,68.28427124736118,0.0,0.0,uGy,0.0,,
4,523223.46626941144,5697050.489098367,True,True,5741.782251314327,5515.508081334531,-226.27416997979617,0.00044738830744171706,0.00042975747201568404,uGy,1.763083542603302e-05,0.03940835093981497,3.9408350939814967
5,522807.8093875928,5697320.909680355,True,True,7240.171723545992,7308.455994793355,68.284271247363,0.0,0.0,uGy,0.0,,
6,523399.8629951768,5697371.867266273,True,True,16300.061319357965,84148.72952881047,67848.6682094525,0.0,0.0,uGy,0.0,,
7,523020.34247733833,5697202.789569433,True,True,42671.66365145685,78959.96870951138,36288.305058054524,0.0,0.0,uGy,0.0,,
8,523035.1448593758,5697561.387719356,True,True,14814.091703477947,85510.44806831538,70696.35636483744,0.0,0.0,uGy,0.0,,
9,522489.86439560197,5696928.86040992,True,True,1970.3980326828687,1970.3980326828687,0.0,0.0,0.0,uGy,0.0,,
10,522912.7054397887,5697426.781736954,True,True,13065.786297656765,83420.72130625662,70354.93500859984,0.0,0.0,uGy,0.0,,
11,523081.1618049589,5697404.802731642,True,True,13275.857777317175,83630.79278591706,70354.93500859989,0.0,0.0,uGy,0.0,,
12,523489.02482682996,5696713.114939984,True,True,72822.93706232727,16806.74083180767,-56016.1962305196,0.0,0.0,uGy,0.0,,
13,522826.7882629474,5696489.184836336,True,True,3282.341782352968,3282.341782352968,0.0,0.0,0.0,uGy,0.0,,
14,522800.679252997,5697300.557610296,True,True,7258.024849236263,7326.309120483626,68.284271247363,0.0,0.0,uGy,0.0,,
15,522880.77637430094,5697283.50039724,True,True,20582.501140024502,40034.44340391001,19451.942263885507,0.0,0.0,uGy,0.0,,
16,522780.80445333244,5697234.20960728,True,True,44930.555114993964,79691.095868763,34760.54075376904,0.0,0.0,uGy,0.0,,
17,522636.350175414,5696884.154668293,True,True,1135.0552066937487,1135.0552066937487,0.0,0.0,0.0,uGy,0.0,,
18,523056.24888303294,5696811.009685948,True,True,5291.916900959539,5059.822295311544,-232.0946056479952,0.1970669724288451,0.18842394531634002,uGy,0.008643027112505086,0.04385832392906843,4.385832392906843
19,523029.82824195357,5697208.030157689,True,False,42682.39141836607,,,0.0,0.0,uGy,0.0,,
20,523485.219516135,5697257.951144057,True,True,6266.390453388688,6040.116283408892,-226.27416997979617,0.0,0.0,uGy,0.0,,
21,523122.4877871183,5696783.395580345,True,True,5365.733253462851,4487.991028457313,-877.7422250055379,0.2695132399386396,0.2254254816179062,uGy,0.04408775832073342,0.16358290349954951,16.358290349954952
22,523036.36603836226,5696400.433328753,True,True,30203.304964353298,18758.511322478033,-11444.793641875265,0.0,0.0,uGy,0.0,,
