survivor_id,x_m,y_m,found,first_discovery_distance_m,first_discovery_fraction_of_mission,exposure_end_distance_m,radiation_quantity,radiation_rate_unit,radiation_dose_unit,ground_truth_excess_rate,ground_truth_total_rate,excess_exposure_distance_integral,total_exposure_distance_integral,distance_integral_unit,first_discovery_time_s,exposure_end_time_s,pre_discovery_excess_dose,pre_discovery_total_dose
0,522531.1632305748,5697307.707819163,True,12312.334344135972,0.1411804306244076,12312.334344135972,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,1231.2334344135973,1231.2334344135973,0.0,0.0
1,522989.911939769,5696998.082866692,True,25324.205276916357,0.29038215713486987,25324.205276916357,collision_air_kerma_rate,uGy/h,uGy,0.0034851765007084872,0.0034851765007084872,88.25932513022676,88.25932513022676,uGy/h*m,2532.4205276916355,2532.4205276916355,0.0024516479202840767,0.0024516479202840767
2,523210.69191053987,5697322.3069615625,True,13445.235532310564,0.1541709386085876,13445.235532310564,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,1344.5235532310564,1344.5235532310564,0.0,0.0
3,522860.35092734295,5697117.848375036,True,8251.504696403099,0.09461658153332601,8251.504696403099,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,825.1504696403099,825.1504696403099,0.0,0.0
4,523223.46626941144,5697050.489098367,True,5741.782251314327,0.06583863531761683,5741.782251314327,collision_air_kerma_rate,uGy/h,uGy,0.002805048739738443,0.002805048739738443,16.105979067901814,16.105979067901814,uGy/h*m,574.1782251314328,574.1782251314328,0.00044738830744171706,0.00044738830744171706
5,522807.8093875928,5697320.909680355,True,7240.171723545992,0.0830200458462789,7240.171723545992,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,724.0171723545992,724.0171723545992,0.0,0.0
6,523399.8629951768,5697371.867266273,True,16300.061319357965,0.18690604169364758,16300.061319357965,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,1630.0061319357965,1630.0061319357965,0.0,0.0
7,523020.34247733833,5697202.789569433,True,42671.66365145685,0.4892982663877885,42671.66365145685,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,4267.166365145686,4267.166365145686,0.0,0.0
8,523035.1448593758,5697561.387719356,True,14814.091703477947,0.16986704450586868,14814.091703477947,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,1481.4091703477948,1481.4091703477948,0.0,0.0
9,522489.86439560197,5696928.86040992,True,1970.3980326828687,0.022593736896703367,1970.3980326828687,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,197.03980326828687,197.03980326828687,0.0,0.0
10,522912.7054397887,5697426.781736954,True,13065.786297656765,0.1498199516347779,13065.786297656765,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,1306.5786297656764,1306.5786297656764,0.0,0.0
11,523081.1618049589,5697404.802731642,True,13275.857777317175,0.15222875415194545,13275.857777317175,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,1327.5857777317174,1327.5857777317174,0.0,0.0
12,523489.02482682996,5696713.114939984,True,72822.93706232727,0.8350304114905829,72822.93706232727,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,7282.293706232727,7282.293706232727,0.0,0.0
13,522826.7882629474,5696489.184836336,True,3282.341782352968,0.037637251664610905,3282.341782352968,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,328.2341782352968,328.2341782352968,0.0,0.0
14,522800.679252997,5697300.557610296,True,7258.024849236263,0.0832247602328846,7258.024849236263,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,725.8024849236264,725.8024849236264,0.0,0.0
15,522880.77637430094,5697283.50039724,True,20582.501140024502,0.23601100271127665,20582.501140024502,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,2058.25011400245,2058.25011400245,0.0,0.0
16,522780.80445333244,5697234.20960728,True,44930.555114993964,0.5152000377856596,44930.555114993964,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,4493.055511499397,4493.055511499397,0.0,0.0
17,522636.350175414,5696884.154668293,True,1135.0552066937487,0.013015207221027177,1135.0552066937487,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,113.50552066937487,113.50552066937487,0.0,0.0
18,523056.24888303294,5696811.009685948,True,5291.916900959539,0.06068021595448947,5291.916900959539,collision_air_kerma_rate,uGy/h,uGy,1.3406127005040562,1.3406127005040562,7094.411007438423,7094.411007438423,uGy/h*m,529.1916900959538,529.1916900959538,0.1970669724288451,0.1970669724288451
19,523029.82824195357,5697208.030157689,True,42682.39141836607,0.4894212772409337,42682.39141836607,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,4268.239141836607,4268.239141836607,0.0,0.0
20,523485.219516135,5697257.951144057,True,6266.390453388688,0.07185409995720643,6266.390453388688,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,626.6390453388688,626.6390453388688,0.0,0.0
21,523122.4877871183,5696783.395580345,True,5365.733253462851,0.06152663744876152,5365.733253462851,collision_air_kerma_rate,uGy/h,uGy,1.8082294030418673,1.8082294030418673,9702.476637791027,9702.476637791027,uGy/h*m,536.5733253462852,536.5733253462852,0.2695132399386396,0.2695132399386396
