path_distance_m,time_s,cumulative_sar_probability,cumulative_survivors_found,cumulative_uav_excess_distance_integral,cumulative_uav_total_distance_integral,cumulative_uav_excess_dose,cumulative_uav_total_dose,radiation_distance_integral_unit,radiation_dose_unit
0.0,0.0,0.00013220316497061812,0,0.0,0.0,0.0,0.0,uGy/h*m,uGy
1.0,0.1,0.00013889609975666024,0,0.0027956760249325187,0.0027956760249325187,7.765766735923663e-08,7.765766735923663e-08,uGy/h*m,uGy
2.0,0.2,0.00014558903454270236,0,0.005594336104480924,0.005594336104480924,1.553982251244701e-07,1.553982251244701e-07,uGy/h*m,uGy
3.0,0.3,0.00015228196932874448,0,0.008395822462036764,0.008395822462036764,2.3321729061213232e-07,2.3321729061213232e-07,uGy/h*m,uGy
4.0,0.4,0.00015897490411478663,0,0.011199929982273475,0.011199929982273475,3.111091661742632e-07,3.111091661742632e-07,uGy/h*m,uGy
5.0,0.5,0.00016566783890082875,0,0.014006464812123042,0.014006464812123042,3.8906846700341786e-07,3.8906846700341786e-07,uGy/h*m,uGy
6.0,0.6,0.00017236077368687087,0,0.01681526707456087,0.01681526707456087,4.6709075207113527e-07,4.6709075207113527e-07,uGy/h*m,uGy
7.0,0.7,0.000179053708472913,0,0.01962613982742875,0.01962613982742875,5.451705507619097e-07,5.451705507619097e-07,uGy/h*m,uGy
8.0,0.8,0.00018574664325895514,0,0.022438877866805148,0.022438877866805148,6.233021629668097e-07,6.233021629668097e-07,uGy/h*m,uGy
9.0,0.9,0.00019243957804499726,0,0.025253298681617388,0.025253298681617388,7.014805189338164e-07,7.014805189338164e-07,uGy/h*m,uGy
10.0,1.0,0.0001991269456117081,0,0.028069229908902805,0.028069229908902805,7.797008308028557e-07,7.797008308028557e-07,uGy/h*m,uGy
11.0,1.1,0.0001991269456117081,0,0.030886459671727554,0.030886459671727554,8.579572131035432e-07,8.579572131035432e-07,uGy/h*m,uGy
