survivor_id,x_m,y_m,found,first_discovery_distance_m,first_discovery_fraction_of_mission,exposure_end_distance_m,radiation_quantity,radiation_rate_unit,radiation_dose_unit,ground_truth_excess_rate,ground_truth_total_rate,excess_exposure_distance_integral,total_exposure_distance_integral,distance_integral_unit,first_discovery_time_s,exposure_end_time_s,pre_discovery_excess_dose,pre_discovery_total_dose
0,522531.1632305748,5697307.707819163,True,80985.57200979284,0.9246752939129174,80985.57200979284,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,8098.557200979284,8098.557200979284,0.0,0.0
1,522989.911939769,5696998.082866692,False,,,87582.71421645637,collision_air_kerma_rate,uGy/h,uGy,0.0034851765007084872,0.0034851765007084872,305.2412174554609,305.2412174554609,uGy/h*m,,8758.271421645637,0.008478922707096137,0.008478922707096137
2,523210.69191053987,5697322.3069615625,True,6877.072337644703,0.07852088621789406,6877.072337644703,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,687.7072337644703,687.7072337644703,0.0,0.0
3,522860.35092734295,5697117.848375036,True,8319.78896765046,0.09499350462111178,8319.78896765046,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,831.978896765046,831.978896765046,0.0,0.0
4,523223.46626941144,5697050.489098367,True,5515.508081334531,0.06297484761323136,5515.508081334531,collision_air_kerma_rate,uGy/h,uGy,0.002805048739738443,0.002805048739738443,15.471268992564625,15.471268992564625,uGy/h*m,551.5508081334531,551.5508081334531,0.00042975747201568404,0.00042975747201568404
5,522807.8093875928,5697320.909680355,True,7308.455994793355,0.08344632910931335,7308.455994793355,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,730.8455994793355,730.8455994793355,0.0,0.0
6,523399.8629951768,5697371.867266273,True,84148.72952881047,0.9607915246933433,84148.72952881047,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,8414.872952881047,8414.872952881047,0.0,0.0
7,523020.34247733833,5697202.789569433,True,78959.96870951138,0.9015474048265472,78959.96870951138,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,7895.996870951138,7895.996870951138,0.0,0.0
8,523035.1448593758,5697561.387719356,True,85510.44806831538,0.9763393248692945,85510.44806831538,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,8551.044806831538,8551.044806831538,0.0,0.0
9,522489.86439560197,5696928.86040992,True,1970.3980326828687,0.02249756758865827,1970.3980326828687,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,197.03980326828687,197.03980326828687,0.0,0.0
10,522912.7054397887,5697426.781736954,True,83420.72130625662,0.9524792883226524,83420.72130625662,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,8342.072130625662,8342.072130625662,0.0,0.0
11,523081.1618049589,5697404.802731642,True,83630.79278591706,0.9548778378713826,83630.79278591706,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,8363.079278591706,8363.079278591706,0.0,0.0
12,523489.02482682996,5696713.114939984,True,16806.74083180767,0.19189563810811613,16806.74083180767,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,1680.674083180767,1680.674083180767,0.0,0.0
13,522826.7882629474,5696489.184836336,True,3282.341782352968,0.03747705025720968,3282.341782352968,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,328.2341782352968,328.2341782352968,0.0,0.0
14,522800.679252997,5697300.557610296,True,7326.309120483626,0.08365017213758658,7326.309120483626,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,732.6309120483627,732.6309120483627,0.0,0.0
15,522880.77637430094,5697283.50039724,True,40034.44340391001,0.45710439282535653,40034.44340391001,collision_air_kerma_rate,uGy/h,uGy,0.0,0.0,0.0,0.0,uGy/h*m,4003.444340391001,4003.444340391001,0.0,0.0
