step_index,mode_before,mode_after,x_m,y_m,sar_row,sar_col,step_distance_m,total_distance_m,measurement_excess,measurement_quantity,measurement_unit,platform_altitude_m,value_reference_height_m,estimator_updated_cells,estimator_update_time_s,hazard_active,hazard_transition,hazard_episode_index,entry_threshold_current,exit_threshold_current,normal_route_interrupted,mode_transition_reason,radiation_planning_time_s,continuation_planning_time_s
0,NORMAL,RADIATION,522960.9204974669,5696984.290406497,30,29,0.0,0.0,1.2089153194977245,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.0008941999985836446,True,enter,1,0.1,0.09000000000000001,True,hazard_enter_threshold,,
1,RADIATION,RADIATION,522940.9204974669,5696964.290406497,29,28,28.284271247461902,28.284271247461902,1.19924299934325,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.0004561999812722206,True,,1,0.1,0.09000000000000001,False,,0.0006273000035434961,
2,RADIATION,RADIATION,522920.9204974669,5696944.290406497,28,27,28.284271247461902,56.568542494923804,1.174709077250992,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.00043200000072829425,True,,1,0.1,0.09000000000000001,False,,0.0005548000044655055,
3,RADIATION,RADIATION,522900.9204974669,5696924.290406497,27,26,28.284271247461902,84.8528137423857,1.1424103098720717,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.00044440000783652067,True,,1,0.1,0.09000000000000001,False,,0.0005455999926198274,
4,RADIATION,RADIATION,522880.9204974669,5696944.290406497,28,25,28.284271247461902,113.13708498984761,1.1867364698363696,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.0003653000167105347,True,,1,0.1,0.09000000000000001,False,,0.0005244000058155507,
5,RADIATION,RADIATION,522860.9204974669,5696924.290406497,27,24,28.284271247461902,141.4213562373095,1.0970240136059355,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.0003693000180646777,True,,1,0.1,0.09000000000000001,False,,0.0005283999780658633,
6,RADIATION,RADIATION,522840.9204974669,5696944.290406497,28,23,28.284271247461902,169.7056274847714,1.1472941071604248,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.000367300002835691,True,,1,0.1,0.09000000000000001,False,,0.0005213000113144517,
7,RADIATION,RADIATION,522840.9204974669,5696964.290406497,29,23,20.0,189.7056274847714,1.2908575937283882,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.00041730000521056354,True,,1,0.1,0.09000000000000001,False,,0.0005220999883022159,
8,RADIATION,RADIATION,522820.9204974669,5696984.290406497,30,22,28.284271247461902,217.9898987322333,1.4702130781659688,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.00039339999784715474,True,,1,0.1,0.09000000000000001,False,,0.0005242999759502709,
9,RADIATION,RADIATION,522800.9204974669,5697004.290406496,31,21,28.284271246803357,246.27416997903669,1.6912298799172611,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.00043000001460313797,True,,1,0.1,0.09000000000000001,False,,0.0005273999995552003,
10,RADIATION,RADIATION,522780.9204974669,5697024.290406496,32,20,28.284271247461902,274.5584412264986,1.8930548808406031,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.0004181999829597771,True,,1,0.1,0.09000000000000001,False,,0.0005393000028561801,
11,RADIATION,RADIATION,522800.9204974669,5697044.290406496,33,21,28.284271247461902,302.8427124739605,2.9319905030311997,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.0004152000183239579,True,,1,0.1,0.09000000000000001,False,,0.0005227000219747424,
