step_index,mode_before,mode_after,x_m,y_m,sar_row,sar_col,step_distance_m,total_distance_m
0,NORMAL,NORMAL,522960.9204974669,5696984.290406497,30,29,0.0,0.0
1,NORMAL,NORMAL,522940.9204974669,5696964.290406497,29,28,28.284271247461902,28.284271247461902
2,NORMAL,NORMAL,522920.9204974669,5696944.290406497,28,27,28.284271247461902,56.568542494923804
3,NORMAL,NORMAL,522900.9204974669,5696924.290406497,27,26,28.284271247461902,84.8528137423857
4,NORMAL,NORMAL,522880.9204974669,5696904.290406497,26,25,28.284271247461902,113.13708498984761
5,NORMAL,NORMAL,522860.9204974669,5696884.290406497,25,24,28.284271247461902,141.4213562373095
6,NORMAL,NORMAL,522840.9204974669,5696864.290406497,24,23,28.284271247461902,169.7056274847714
7,NORMAL,NORMAL,522820.9204974669,5696844.290406497,23,22,28.284271247461902,197.9898987322333
8,NORMAL,NORMAL,522800.9204974669,5696824.290406497,22,21,28.284271247461902,226.27416997969522
9,NORMAL,NORMAL,522820.9204974669,5696804.290406497,21,22,28.284271247461902,254.55844122715712
10,NORMAL,NORMAL,522840.9204974669,5696784.290406497,20,23,28.284271247461902,282.842712474619
11,NORMAL,NORMAL,522820.9204974669,5696764.290406497,19,22,28.284271247461902,311.1269837220809
12,NORMAL,NORMAL,522840.9204974669,5696744.290406497,18,23,28.284271247461902,339.4112549695428
13,NORMAL,NORMAL,522860.9204974669,5696724.290406497,17,24,28.284271247461902,367.6955262170047
14,NORMAL,NORMAL,522840.9204974669,5696704.290406497,16,23,28.284271247461902,395.9797974644666
15,NORMAL,NORMAL,522820.9204974669,5696684.290406497,15,22,28.284271247461902,424.26406871192853
16,NORMAL,NORMAL,522800.9204974669,5696664.290406497,14,21,28.284271247461902,452.54833995939043
17,NORMAL,NORMAL,522820.9204974669,5696644.290406497,13,22,28.284271247461902,480.83261120685233
18,NORMAL,NORMAL,522820.9204974669,5696624.290406497,12,22,20.0,500.83261120685233
19,NORMAL,NORMAL,522820.9204974669,5696604.290406497,11,22,20.0,520.8326112068523
20,NORMAL,NORMAL,522800.9204974669,5696584.290406497,10,21,28.284271247461902,549.1168824543142
21,NORMAL,NORMAL,522800.9204974669,5696564.290406497,9,21,20.0,569.1168824543142
22,NORMAL,NORMAL,522780.9204974669,5696544.290406497,8,20,28.284271247461902,597.4011537017761
23,NORMAL,NORMAL,522760.9204974669,5696544.290406497,8,19,20.0,617.4011537017761
24,NORMAL,NORMAL,522740.9204974669,5696544.290406497,8,18,20.0,637.4011537017761
25,NORMAL,NORMAL,522720.9204974669,5696544.290406497,8,17,20.0,657.4011537017761
26,NORMAL,NORMAL,522700.9204974669,5696544.290406497,8,16,20.0,677.4011537017761
27,NORMAL,NORMAL,522680.9204974669,5696544.290406497,8,15,20.0,697.4011537017761
28,NORMAL,NORMAL,522660.9204974669,5696544.290406497,8,14,20.0,717.4011537017761
29,NORMAL,NORMAL,522640.9204974669,5696544.290406497,8,13,20.0,737.4011537017761
30,NORMAL,NORMAL,522620.9204974669,5696564.290406497,9,12,28.284271247461902,765.685424949238
31,NORMAL,NORMAL,522600.9204974669,5696564.290406497,9,11,20.0,785.685424949238
32,NORMAL,NORMAL,522580.9204974669,5696584.290406497,10,10,28.284271247461902,813.9696961966999
33,NORMAL,NORMAL,522600.9204974669,5696604.290406497,11,11,28.284271247461902,842.2539674441618
34,NORMAL,NORMAL,522620.9204974669,5696624.290406497,12,12,28.284271247461902,870.5382386916237
35,NORMAL,NORMAL,522620.9204974669,5696644.290406497,13,12,20.0,890.5382386916237
36,NORMAL,NORMAL,522640.9204974669,5696664.290406497,14,13,28.284271247461902,918.8225099390856
37,NORMAL,NORMAL,522640.9204974669,5696684.290406497,15,13,20.0,938.8225099390856
38,NORMAL,NORMAL,522640.9204974669,5696704.290406497,16,13,20.0,958.8225099390856
39,NORMAL,NORMAL,522660.9204974669,5696724.290406497,17,14,28.284271247461902,987.1067811865476
40,NORMAL,NORMAL,522660.9204974669,5696744.290406497,18,14,20.0,1007.1067811865476
41,NORMAL,NORMAL,522660.9204974669,5696764.290406497,19,14,20.0,1027.1067811865476
42,NORMAL,NORMAL,522660.9204974669,5696784.290406497,20,14,20.0,1047.1067811865476
43,NORMAL,NORMAL,522660.9204974669,5696804.290406497,21,14,20.0,1067.1067811865476
44,NORMAL,NORMAL,522660.9204974669,5696824.290406497,22,14,20.0,1087.1067811865476
45,NORMAL,NORMAL,522640.9204974669,5696844.290406497,23,13,28.284271247461902,1115.3910524340095
46,NORMAL,NORMAL,522640.9204974669,5696864.290406497,24,13,20.0,1135.3910524340095
47,NORMAL,NORMAL,522620.9204974669,5696884.290406497,25,12,28.284271247461902,1163.6753236814714
48,NORMAL,NORMAL,522600.9204974669,5696884.290406497,25,11,20.0,1183.6753236814714
49,NORMAL,NORMAL,522580.9204974669,5696884.290406497,25,10,20.0,1203.6753236814714
50,NORMAL,NORMAL,522560.9204974669,5696884.290406497,25,9,20.0,1223.6753236814714
51,NORMAL,NORMAL,522540.9204974669,5696864.290406497,24,8,28.284271247461902,1251.9595949289333
52,NORMAL,NORMAL,522520.9204974669,5696864.290406497,24,7,20.0,1271.9595949289333
53,NORMAL,NORMAL,522500.9204974669,5696844.290406497,23,6,28.284271247461902,1300.2438661763952
54,NORMAL,NORMAL,522500.9204974669,5696824.290406497,22,6,20.0,1320.2438661763952
55,NORMAL,NORMAL,522500.9204974669,5696804.290406497,21,6,20.0,1340.2438661763952
56,NORMAL,NORMAL,522500.9204974669,5696784.290406497,20,6,20.0,1360.2438661763952
57,NORMAL,NORMAL,522480.9204974669,5696764.290406497,19,5,28.284271247461902,1388.528137423857
58,NORMAL,NORMAL,522500.9204974669,5696744.290406497,18,6,28.284271247461902,1416.812408671319
59,NORMAL,NORMAL,522520.9204974669,5696724.290406497,17,7,28.284271247461902,1445.0966799187809
60,NORMAL,NORMAL,522520.9204974669,5696704.290406497,16,7,20.0,1465.0966799187809
61,NORMAL,NORMAL,522540.9204974669,5696684.290406497,15,8,28.284271247461902,1493.3809511662428
62,NORMAL,NORMAL,522540.9204974669,5696664.290406497,14,8,20.0,1513.3809511662428
63,NORMAL,NORMAL,522560.9204974669,5696644.290406497,13,9,28.284271247461902,1541.6652224137047
64,NORMAL,NORMAL,522560.9204974669,5696624.290406497,12,9,20.0,1561.6652224137047
65,NORMAL,NORMAL,522540.9204974669,5696604.290406497,11,8,28.284271247461902,1589.9494936611666
66,NORMAL,NORMAL,522520.9204974669,5696624.290406497,12,7,28.284271247461902,1618.2337649086285
